Ministério da Integração e do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil
Relatório Gerencial - Visão Geral - 2024
UF;Usuários ativos;Municípios usuários;Percentual municípios;Somente registro;Andamento (Em análise);Reconhecimentos;Municípios reconhecidos;Negados;Total
Acre;53;20;90,91%;14;0;67;22;1;82;
Alagoas;280;102;100,00%;3;0;65;34;14;82;
Amazonas;163;58;93,55%;17;0;96;62;2;115;
Amapá;30;14;87,50%;31;0;28;16;1;60;
Bahia;1363;406;97,36%;95;0;224;145;22;341;
Ceará;498;179;97,28%;71;0;79;44;11;161;
Distrito Federal;22;1;100,00%;3;0;1;1;0;4;
Espirito Santo;211;76;97,44%;160;0;23;20;3;186;
Goias;264;119;48,37%;48;0;312;246;5;365;
Maranhão;474;178;82,03%;16;0;34;31;14;64;
Minas Gerais;1538;779;91,32%;267;0;364;259;28;659;
Mato Grosso Sul;128;77;97,47%;193;0;13;13;1;207;
Mato Grosso;193;124;87,94%;139;0;132;119;4;275;
Pará;482;133;92,36%;209;0;143;86;19;371;
Paraiba;554;209;93,72%;9;0;258;144;76;343;
Pernambuco;385;176;95,14%;143;0;201;104;9;353;
Piaui;590;203;90,62%;99;0;137;107;7;243;
Parana;1085;375;93,98%;19;0;106;82;7;132;
Rio de Janeiro;397;89;96,74%;107;0;34;26;3;144;
Rio Grande do Norte;277;144;86,23%;58;0;143;75;17;218;
Rondônia;94;45;86,54%;105;0;57;30;1;163;
Roraima;60;15;100,00%;11;0;18;13;1;30;
Rio Grande do Sul;1177;453;91,15%;276;0;768;468;36;1080;
Santa Catarina;1053;285;96,61%;243;0;54;47;26;323;
Sergipe;122;74;98,67%;10;0;18;11;2;30;
São Paulo;1060;573;88,84%;197;0;22;22;8;227;
Tocantins;135;104;74,82%;282;0;8;6;2;292;

TOTAL;12688;5011;89,96%;2825;0;3405;2233;320;6550;
