month,precipitation_mm,station_file,latitude,longitude
2024-01,30.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-02,34.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-03,41.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-04,68.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-05,140.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-06,86.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-07,27.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-08,51.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-09,31.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-10,21.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-11,78.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-12,92.0,INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,-29.36888888,-50.82722221
2024-01,12.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-02,13.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-03,6.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-04,20.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-05,73.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-06,60.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-07,10.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-08,17.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-09,19.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-10,18.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-11,16.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-12,38.0,INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,-28.51361111,-50.88277777
2024-01,14.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-02,14.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-03,39.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-04,87.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-05,76.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-06,22.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-07,23.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-08,29.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-09,75.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-10,63.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
2024-11,5.0,INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,-30.54527777,-53.46694443
