CD_MUN_2,area_risco_km2,NM_MUN_2,SIGLA_UF,CD_MUN,area_municipio_km2,perc_area_em_risco
1100015,7137.904854650601,Alta Floresta D'Oeste,RO,1100015,7137.908968646289,99.99994236413345
1100023,4479.446408614892,Ariquemes,RO,1100023,4479.446408614915,99.99999999999949
1100031,1322.7485115273664,Cabixi,RO,1100031,1322.74985800634,99.99989820607688
1100049,3823.0313097840603,Cacoal,RO,1100049,3823.0313097840653,99.99999999999987
1100056,2804.6652567210836,Cerejeiras,RO,1100056,2804.6652567210735,100.00000000000036
1100064,1460.113670248122,Colorado do Oeste,RO,1100064,1460.1136702481283,99.99999999999957
1100072,3082.753420271926,Corumbiara,RO,1100072,3082.753420271934,99.99999999999974
1100080,5061.118870818389,Costa Marques,RO,1100080,5061.126335338903,99.99985251266182
1100098,4548.672187250783,Espigão D'Oeste,RO,1100098,4548.672187250791,99.99999999999984
1100106,25264.47910668818,Guajará-Mirim,RO,1100106,25264.49557670267,99.99993480964447
1100114,2976.293527232949,Jaru,RO,1100114,2976.2935272329496,99.99999999999999
1100122,6958.176991686816,Ji-Paraná,RO,1100122,6958.176991686808,100.00000000000011
1100130,8590.908486168943,Machadinho D'Oeste,RO,1100130,8590.908486168953,99.99999999999987
1100148,1720.1743174724352,Nova Brasilândia D'Oeste,RO,1100148,1720.1743174724318,100.0000000000002
1100155,1989.2715433592728,Ouro Preto do Oeste,RO,1100155,1989.2715433592773,99.99999999999977
1100189,6283.868308813632,Pimenta Bueno,RO,1100189,6283.868308813608,100.0000000000004
1100205,34637.02969768606,Porto Velho,RO,1100205,34637.04543353287,99.99995456931558
1100254,1774.572684443732,Presidente Médici,RO,1100254,1774.5726844437363,99.99999999999976
1100262,1737.4324372076562,Rio Crespo,RO,1100262,1737.432437207668,99.99999999999932
1100288,1470.753121661211,Rolim de Moura,RO,1100288,1470.7531216612094,100.00000000000011
1100296,1208.227416232119,Santa Luzia D'Oeste,RO,1100296,1208.2274162321196,99.99999999999994
1100304,11766.090867736984,Vilhena,RO,1100304,11766.090867736952,100.00000000000028
1100320,7548.783843696466,São Miguel do Guaporé,RO,1100320,7548.783843696501,99.99999999999953
1100338,10239.465268651398,Nova Mamoré,RO,1100338,10239.468412607945,99.9999692957054
1100346,3061.8281138032494,Alvorada D'Oeste,RO,1100346,3061.8281138032626,99.99999999999957
1100379,3994.128153270417,Alto Alegre dos Parecis,RO,1100379,3994.131330351182,99.99992045627691
1100403,2686.721554867255,Alto Paraíso,RO,1100403,2686.7215548672502,100.00000000000017
1100452,3313.796838999016,Buritis,RO,1100452,3313.796838999018,99.99999999999994
1100502,851.5494460182572,Novo Horizonte do Oeste,RO,1100502,851.5494460182524,100.00000000000055
1100601,1985.297891251406,Cacaulândia,RO,1100601,1985.2978912513981,100.0000000000004
1100700,3491.0165539877235,Campo Novo de Rondônia,RO,1100700,3491.0165539877266,99.99999999999991
1100809,6933.00431195829,Candeias do Jamari,RO,1100809,6933.004311958262,100.0000000000004
1100908,901.0028661282919,Castanheiras,RO,1100908,901.0028661282909,100.00000000000011
1100924,5162.429657636781,Chupinguaia,RO,1100924,5162.429657636755,100.00000000000048
1100940,3906.2549726150073,Cujubim,RO,1100940,3906.2549726149778,100.00000000000075
1101005,5130.66540901024,Governador Jorge Teixeira,RO,1101005,5130.665409010243,99.99999999999994
1101104,4131.53508311442,Itapuã do Oeste,RO,1101104,4131.535083114439,99.99999999999953
1101203,804.8352498549655,Ministro Andreazza,RO,1101203,804.8352498549694,99.9999999999995
1101302,1205.6595443587444,Mirante da Serra,RO,1101302,1205.6595443587464,99.99999999999983
1101401,1956.5751415282534,Monte Negro,RO,1101401,1956.575141528255,99.99999999999993
1101435,815.8387377040266,Nova União,RO,1101435,815.8387377040198,100.00000000000084
1101450,2569.1882461618575,Parecis,RO,1101450,2569.1882461618707,99.99999999999949
