arquivo,estacao,uf,latitude,longitude
INMET_N_PA_A256_SANTA MARIA DAS BARREIRAS_01-01-2024_A_31-12-2024.CSV,SANTA MARIA DAS BARREIRAS,PA,-8.72972221,-49.85638888
INMET_SE_RJ_A667_SAQUAREMA - SAMPAIO CORREIA_01-01-2024_A_31-12-2024.CSV,SAQUAREMA - SAMPAIO CORREIA,RJ,-22.8711111,-42.60888888
INMET_SE_SP_A765_BERTIOGA_01-01-2024_A_31-12-2024.CSV,BERTIOGA,SP,-23.84472221,-46.14333333
INMET_CO_MS_A761_SONORA_01-01-2024_A_31-12-2024.CSV,SONORA,MS,-17.63527777,-54.76055555
INMET_NE_PB_A352_CAMARATUBA_01-01-2024_A_31-12-2024.CSV,CAMARATUBA,PB,-6.56194444,-35.13527777
INMET_NE_BA_A440_JACOBINA_01-01-2024_A_31-12-2024.CSV,JACOBINA,BA,-11.205,-40.465
INMET_NE_BA_A408_ITABERABA_01-01-2024_A_31-12-2024.CSV,ITABERABA,BA,-12.52416666,-40.29972221
INMET_N_TO_A051_PIUM_01-01-2024_A_31-12-2024.CSV,PIUM,TO,-10.47694443,-49.62944443
INMET_N_PA_A246_MINA DO PALITO_01-01-2024_A_31-12-2024.CSV,MINA DO PALITO,PA,-6.31999999,-55.78777777
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,CANELA,RS,-29.36888888,-50.82722221
INMET_SE_RJ_A637_Paty do Alferes - Avelar_01-01-2024_A_31-12-2024.CSV,Paty do Alferes - Avelar,RJ,-22.34722221,-43.41777777
INMET_SE_RJ_A620_CAMPOS DOS GOYTACAZES - SAO TOME_01-01-2024_A_31-12-2024.CSV,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,-22.04166666,-41.05166666
INMET_CO_MT_A921_SAO FELIX  DO ARAGUAIA_01-01-2024_A_31-12-2024.CSV,SAO FELIX  DO ARAGUAIA,MT,-11.61888888,-50.72777777
INMET_CO_GO_A025_RIO VERDE_01-01-2024_A_31-12-2024.CSV,RIO VERDE,GO,-17.78527777,-50.965
INMET_N_PA_A240_MARABA_01-01-2024_A_31-12-2024.CSV,MARABA,PA,-5.36638888,-49.05111111
INMET_NE_CE_A369_QUIXADA_01-01-2024_A_31-12-2024.CSV,QUIXADA,CE,-4.97888888,-39.05722222
INMET_N_PA_A252_DOM ELISEU_01-01-2024_A_31-12-2024.CSV,DOM ELISEU,PA,-4.28055554,-47.56388888
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,VACARIA,RS,-28.51361111,-50.88277777
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,CACAPAVA DO SUL,RS,-30.54527777,-53.46694443
INMET_NE_BA_A432_BURITIRAMA_01-01-2024_A_31-12-2024.CSV,BURITIRAMA,BA,-10.72305554,-43.65111111
INMET_N_AM_A134_S. G. DA CACHOEIRA_01-01-2024_A_31-12-2024.CSV,S. G. DA CACHOEIRA,AM,-.125207,-67.061246
INMET_NE_PI_A376_CAMPO MAIOR_01-01-2024_A_31-12-2024.CSV,CAMPO MAIOR,PI,-4.86416666,-42.14555555
INMET_S_SC_A806_FLORIANOPOLIS_01-01-2024_A_31-12-2024.CSV,FLORIANOPOLIS,SC,-27.6025,-48.61999999
INMET_SE_MG_A539_MOCAMBINHO_01-01-2024_A_31-12-2024.CSV,MOCAMBINHO,MG,-15.08583333,-44.01611111
INMET_NE_CE_A314_GUARAMIRANGA_01-01-2024_A_31-12-2024.CSV,GUARAMIRANGA,CE,-4.22916666,-38.95888888
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024.CSV,SERAFINA CORREA,RS,-28.70472222,-51.87083332
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024.CSV,SANTO AUGUSTO,RS,-27.85444444,-53.7911111
INMET_SE_MG_A537_DIAMANTINA_01-01-2024_A_31-12-2024.CSV,DIAMANTINA,MG,-18.231052,-43.648269
INMET_SE_RJ_A627_NITEROI_01-01-2024_A_31-12-2024.CSV,NITEROI,RJ,-22.86749999,-43.10194444
INMET_CO_GO_A002_GOIANIA_01-01-2024_A_31-12-2024.CSV,GOIANIA,GO,-16.64277777,-49.22027777
INMET_NE_BA_A446_ITAPETINGA_01-01-2024_A_31-12-2024.CSV,ITAPETINGA,BA,-15.24472221,-40.22944443
INMET_N_AM_A113_APUI_01-01-2024_A_31-12-2024.CSV,APUI,AM,-7.20555555,-59.8886111
INMET_SE_MG_A520_CONCEICAO DAS ALAGOAS_01-01-2024_A_31-12-2024.CSV,CONCEICAO DAS ALAGOAS,MG,-19.98583333,-48.15166666
INMET_N_TO_A021_ARAGUAINA_01-01-2024_A_31-12-2024.CSV,ARAGUAINA,TO,-7.10388888,-48.20111111
INMET_SE_MG_A518_JUIZ DE FORA_01-01-2024_A_31-12-2024.CSV,JUIZ DE FORA,MG,-21.769965,-43.364329
INMET_NE_BA_A414_VITORIA DA CONQUISTA_01-01-2024_A_31-12-2024.CSV,VITORIA DA CONQUISTA,BA,-14.88638888,-40.80138888
INMET_SE_MG_A536_DORES DO INDAIA_01-01-2024_A_31-12-2024.CSV,DORES DO INDAIA,MG,-19.48194443,-45.59388888
INMET_CO_MT_A944_ROSARIO OESTE_01-01-2024_A_31-12-2024.CSV,ROSARIO OESTE,MT,-14.82888888,-56.44194444
INMET_N_AC_A140_EPITACIOLANDIA_01-01-2024_A_31-12-2024.CSV,EPITACIOLANDIA,AC,-11.02388888,-68.73527777
INMET_NE_BA_A430_PIATA_01-01-2024_A_31-12-2024.CSV,PIATA,BA,-13.15555555,-41.77416666
INMET_SE_MG_A512_ITUIUTABA_01-01-2024_A_31-12-2024.CSV,ITUIUTABA,MG,-18.95277777,-49.52499999
INMET_N_TO_A038_DIANOPOLIS_01-01-2024_A_31-12-2024.CSV,DIANOPOLIS,TO,-11.59444444,-46.84722221
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024.CSV,BENTO GONCALVES,RS,-29.164581,-51.534202
INMET_CO_GO_A026_MINEIROS_01-01-2024_A_31-12-2024.CSV,MINEIROS,GO,-17.45472222,-52.60111111
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024.CSV,RIO GRANDE,RS,-32.07888888,-52.16777777
INMET_NE_MA_A207_GRAJAU_01-01-2024_A_31-12-2024.CSV,GRAJAU,MA,-5.81611111,-46.16222222
INMET_N_TO_A044_ARAGUATINS_01-01-2024_A_31-12-2024.CSV,ARAGUATINS,TO,-5.6436111,-48.11194444
INMET_SE_MG_A568_UBERABA_01-01-2024_A_31-12-2024.CSV,UBERABA,MG,-19.71,-47.96194444
INMET_N_PA_A226_BRAGANCA_01-01-2024_A_31-12-2024.CSV,BRAGANCA,PA,-1.05583333,-46.78277777
INMET_SE_SP_A744_BRAGANCA PAULISTA_01-01-2024_A_31-12-2024.CSV,BRAGANCA PAULISTA,SP,-22.94916666,-46.5261111
INMET_SE_SP_A771_SAO PAULO - INTERLAGOS_01-01-2024_A_31-12-2024.CSV,SAO PAULO - INTERLAGOS,SP,-23.72444443,-46.67749999
INMET_NE_CE_A324_TAUA_01-01-2024_A_31-12-2024.CSV,TAUA,CE,-6.01749999,-40.28138888
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024.CSV,SAO VICENTE DO SUL,RS,-29.70222222,-54.69444444
INMET_SE_RJ_A628_ANGRA DOS REIS_01-01-2024_A_31-12-2024.CSV,ANGRA DOS REIS,RJ,-22.97555554,-44.30333333
INMET_S_PR_A869_CIDADE GAUCHA_01-01-2024_A_31-12-2024.CSV,CIDADE GAUCHA,PR,-23.35916666,-52.93194443
INMET_CO_MT_A917_SINOP_01-01-2024_A_31-12-2024.CSV,SINOP,MT,-11.98222221,-55.56611111
INMET_NE_PE_A341_CARUARU_01-01-2024_A_31-12-2024.CSV,CARUARU,PE,-8.36527777,-36.02833332
INMET_N_PA_A235_NOVO REPARTIMENTO_01-01-2024_A_31-12-2024.CSV,NOVO REPARTIMENTO,PA,-4.24388888,-49.93944444
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024.CSV,DOM PEDRITO,RS,-31.0025,-54.61805554
INMET_SE_RJ_A625_TRES RIOS_01-01-2024_A_31-12-2024.CSV,TRES RIOS,RJ,-22.09833333,-43.20833333
INMET_NE_PI_A345_SAO RAIMUNDO NONATO_01-01-2024_A_31-12-2024.CSV,SAO RAIMUNDO NONATO,PI,-9.03305554,-42.70111111
INMET_N_PA_A232_OBIDOS_01-01-2024_A_31-12-2024.CSV,OBIDOS,PA,-1.88083332,-55.51972221
INMET_NE_RN_A372_IPANGUACU_01-01-2024_A_31-12-2024.CSV,IPANGUACU,RN,-5.53499999,-36.87222221
INMET_CO_MS_A749_JUTI_01-01-2024_A_31-12-2024.CSV,JUTI,MS,-22.85722222,-54.60555555
INMET_NE_PE_A322_GARANHUNS_01-01-2024_A_31-12-2024.CSV,GARANHUNS,PE,-8.91083333,-36.49333333
INMET_SE_RJ_A619_PARATY_01-01-2024_A_31-12-2024.CSV,PARATY,RJ,-23.2236111,-44.72694443
INMET_NE_AL_A327_PALMEIRA DOS INDIOS_01-01-2024_A_31-12-2024.CSV,PALMEIRA DOS INDIOS,AL,-9.42027777,-36.62027777
INMET_NE_BA_A442_EUCLIDES DA CUNHA_01-01-2024_A_31-12-2024.CSV,EUCLIDES DA CUNHA,BA,-10.53722221,-38.99666666
INMET_S_PR_A855_PLANALTO_01-01-2024_A_31-12-2024.CSV,PLANALTO,PR,-25.72194443,-53.74805555
INMET_SE_MG_A508_ALMENARA_01-01-2024_A_31-12-2024.CSV,ALMENARA,MG,-16.16666666,-40.68777777
INMET_NE_AL_A323_PAO DE ACUCAR_01-01-2024_A_31-12-2024.CSV,PAO DE ACUCAR,AL,-9.74916666,-37.43083332
INMET_SE_RJ_A611_VALENCA_01-01-2024_A_31-12-2024.CSV,VALENCA,RJ,-22.35805555,-43.69555555
INMET_SE_MG_A565_BAMBUI_01-01-2024_A_31-12-2024.CSV,BAMBUI,MG,-20.0311111,-46.00888888
INMET_SE_MG_A556_MANHUACU_01-01-2024_A_31-12-2024.CSV,MANHUACU,MG,-20.26333333,-42.18277777
INMET_CO_DF_A047_PARANOA (COOPA-DF)_01-01-2024_A_31-12-2024.CSV,PARANOA (COOPA-DF),DF,-16.012222,-47.557417
INMET_SE_RJ_A621_RIO DE JANEIRO - VILA MILITAR_01-01-2024_A_31-12-2024.CSV,RIO DE JANEIRO - VILA MILITAR,RJ,-22.86138888,-43.41138888
INMET_CO_GO_A016_JATAI_01-01-2024_A_31-12-2024.CSV,JATAI,GO,-17.9236111,-51.71749999
INMET_SE_MG_A542_UNAI_01-01-2024_A_31-12-2024.CSV,UNAI,MG,-16.55416666,-46.88194443
INMET_NE_CE_A368_TIANGUA_01-01-2024_A_31-12-2024.CSV,TIANGUA,CE,-3.73222221,-41.01194444
INMET_NE_SE_A409_ARACAJU_01-01-2024_A_31-12-2024.CSV,ARACAJU,SE,-10.9525,-37.05444444
INMET_CO_MS_A703_PONTA PORA_01-01-2024_A_31-12-2024.CSV,PONTA PORA,MS,-22.5525,-55.71638888
INMET_NE_BA_A452_FORMOSA DO RIO PRETO_01-01-2024_A_31-12-2024.CSV,FORMOSA DO RIO PRETO,BA,-11.05222222,-45.20083333
INMET_CO_MT_A903_S.J. DO RIO CLARO_01-01-2024_A_31-12-2024.CSV,S.J. DO RIO CLARO,MT,-13.45388888,-56.67722221
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024.CSV,RIO PARDO,RS,-29.87222221,-52.38194443
INMET_SE_MG_A566_ARACUAI_01-01-2024_A_31-12-2024.CSV,ARACUAI,MG,-16.84888888,-42.03527777
INMET_CO_MT_A933_ITIQUIRA_01-01-2024_A_31-12-2024.CSV,ITIQUIRA,MT,-17.17499999,-54.50166666
INMET_SE_RJ_A601_SEROPEDICA-ECOLOGIA AGRICOLA_01-01-2024_A_31-12-2024.CSV,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,-22.75777777,-43.68472221
INMET_SE_MG_A554_CARATINGA_01-01-2024_A_31-12-2024.CSV,CARATINGA,MG,-19.73583333,-42.13722221
INMET_SE_SP_A739_ITAPIRA_01-01-2024_A_31-12-2024.CSV,ITAPIRA,SP,-22.415,-46.80527777
INMET_N_TO_A009_PALMAS_01-01-2024_A_31-12-2024.CSV,PALMAS,TO,-10.14777777,-48.31444444
INMET_NE_AL_A303_MACEIO_01-01-2024_A_31-12-2024.CSV,MACEIO,AL,-9.55111111,-35.77027777
INMET_NE_BA_A406_CRUZ DAS ALMAS_01-01-2024_A_31-12-2024.CSV,CRUZ DAS ALMAS,BA,-12.67555554,-39.08944444
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024.CSV,SOLEDADE,RS,-28.859211,-52.542387
INMET_CO_MS_A719_AQUIDAUANA_01-01-2024_A_31-12-2024.CSV,AQUIDAUANA,MS,-20.47555554,-55.78388888
INMET_N_PA_A201_BELEM_01-01-2024_A_31-12-2024.CSV,BELEM,PA,-1.411228,-48.439512
INMET_S_PR_A818_IVAI_01-01-2024_A_31-12-2024.CSV,IVAI,PR,-25.01083333,-50.85388888
INMET_SE_MG_A562_PATOS DE MINAS_01-01-2024_A_31-12-2024.CSV,PATOS DE MINAS,MG,-18.52055554,-46.44055555
INMET_NE_MA_A225_IMPERATRIZ_01-01-2024_A_31-12-2024.CSV,IMPERATRIZ,MA,-5.55583333,-47.45972222
INMET_SE_MG_A509_MONTE VERDE_01-01-2024_A_31-12-2024.CSV,MONTE VERDE,MG,-22.86166666,-46.04333333
INMET_SE_RJ_A629_CARMO_01-01-2024_A_31-12-2024.CSV,CARMO,RJ,-21.9386111,-42.60083333
INMET_NE_BA_A425_LENCOIS_01-01-2024_A_31-12-2024.CSV,LENCOIS,BA,-12.55777777,-41.38888888
INMET_SE_RJ_A609_RESENDE_01-01-2024_A_31-12-2024.CSV,RESENDE,RJ,-22.45138888,-44.44499999
INMET_NE_PI_A326_BOM JESUS DO PIAUI_01-01-2024_A_31-12-2024.CSV,BOM JESUS DO PIAUI,PI,-9.07999999,-44.32777777
INMET_CO_GO_A023_CAIAPONIA_01-01-2024_A_31-12-2024.CSV,CAIAPONIA,GO,-16.96694443,-51.81749999
INMET_SE_MG_A527_TEOFILO OTONI_01-01-2024_A_31-12-2024.CSV,TEOFILO OTONI,MG,-17.89277777,-41.51555555
INMET_CO_MT_A928_NOVA MARINGA_01-01-2024_A_31-12-2024.CSV,NOVA MARINGA,MT,-13.0386111,-57.09222221
INMET_N_AM_A124_URUCARA_01-01-2024_A_31-12-2024.CSV,URUCARA,AM,-2.53472221,-57.75805555
INMET_NE_CE_A360_ACARAU_01-01-2024_A_31-12-2024.CSV,ACARAU,CE,-3.1211111,-40.08722221
INMET_N_TO_A053_ALMAS_01-01-2024_A_31-12-2024.CSV,ALMAS,TO,-11.28416666,-47.21222222
INMET_N_AM_A125_RIO URUBU_01-01-2024_A_31-12-2024.CSV,RIO URUBU,AM,-2.6336111,-59.60055555
INMET_S_SC_A898_CAMPOS NOVOS_01-01-2024_A_31-12-2024.CSV,CAMPOS NOVOS,SC,-27.3886111,-51.21583333
INMET_CO_MT_A908_AGUA BOA_01-01-2024_A_31-12-2024.CSV,AGUA BOA,MT,-14.01638888,-52.21166666
INMET_SE_SP_A737_IBITINGA_01-01-2024_A_31-12-2024.CSV,IBITINGA,SP,-21.85555555,-48.79972221
INMET_SE_SP_A746_BARRA DO TURVO_01-01-2024_A_31-12-2024.CSV,BARRA DO TURVO,SP,-24.96277777,-48.41638888
INMET_SE_MG_A550_ITAOBIM_01-01-2024_A_31-12-2024.CSV,ITAOBIM,MG,-16.57555554,-41.48555555
INMET_SE_SP_A741_BARRA BONITA_01-01-2024_A_31-12-2024.CSV,BARRA BONITA,SP,-22.4711111,-48.5575
INMET_NE_BA_A438_MARAU_01-01-2024_A_31-12-2024.CSV,MARAU,BA,-13.90694444,-38.97222221
INMET_NE_MA_A223_ALTO PARNAIBA_01-01-2024_A_31-12-2024.CSV,ALTO PARNAIBA,MA,-9.10833333,-45.93194443
INMET_NE_PB_A373_ITAPORANGA_01-01-2024_A_31-12-2024.CSV,ITAPORANGA,PB,-7.31833332,-38.14083333
INMET_S_PR_A842_NOVA FATIMA_01-01-2024_A_31-12-2024.CSV,NOVA FATIMA,PR,-23.41527777,-50.57777777
INMET_N_AM_A144_NOVO ARIPUANA_01-01-2024_A_31-12-2024.CSV,NOVO ARIPUANA,AM,-8.0911111,-60.38055554
INMET_SE_SP_A708_FRANCA_01-01-2024_A_31-12-2024.CSV,FRANCA,SP,-20.58444444,-47.38249999
INMET_CO_MT_A911_SAPEZAL_01-01-2024_A_31-12-2024.CSV,SAPEZAL,MT,-13.30388888,-58.76333333
INMET_NE_PI_A330_PAULISTANA_01-01-2024_A_31-12-2024.CSV,PAULISTANA,PI,-8.132288,-41.142945
INMET_CO_GO_A013_ARAGARCAS_01-01-2024_A_31-12-2024.CSV,ARAGARCAS,GO,-15.90277777,-52.24527777
INMET_N_TO_A054_ARAGUACU_01-01-2024_A_31-12-2024.CSV,ARAGUACU,TO,-12.59222221,-49.5286111
INMET_NE_BA_A410_ILHEUS_01-01-2024_A_31-12-2024.CSV,ILHEUS,BA,-14.65888888,-39.18138888
INMET_NE_BA_A443_DELFINO_01-01-2024_A_31-12-2024.CSV,DELFINO,BA,-10.455,-41.20694444
INMET_S_PR_A821_JOAQUIM TAVORA_01-01-2024_A_31-12-2024.CSV,JOAQUIM TAVORA,PR,-23.50527777,-49.94638888
INMET_SE_SP_A707_PRESIDENTE PRUDENTE_01-01-2024_A_31-12-2024.CSV,PRESIDENTE PRUDENTE,SP,-22.11999999,-51.40861111
INMET_NE_PI_A365_CANTO DO BURITI_01-01-2024_A_31-12-2024.CSV,CANTO DO BURITI,PI,-8.11805554,-42.97583332
INMET_N_RO_A940_ARIQUEMES_01-01-2024_A_31-12-2024.CSV,ARIQUEMES,RO,-9.94888888,-62.96194444
INMET_NE_PI_A311_FLORIANO_01-01-2024_A_31-12-2024.CSV,FLORIANO,PI,-6.76138888,-43.00333333
INMET_SE_MG_A517_MURIAE_01-01-2024_A_31-12-2024.CSV,MURIAE,MG,-21.105,-42.37583332
INMET_SE_SP_A714_ITAPEVA_01-01-2024_A_31-12-2024.CSV,ITAPEVA,SP,-23.98194443,-48.88583333
INMET_S_PR_A871_JAPIRA_01-01-2024_A_31-12-2024.CSV,JAPIRA,PR,-23.77333332,-50.18055554
INMET_CO_DF_A045_AGUAS EMENDADAS_01-01-2024_A_31-12-2024.CSV,AGUAS EMENDADAS,DF,-15.596491,-47.625801
INMET_SE_MG_A570_OLIVEIRA_01-01-2024_A_31-12-2024.CSV,OLIVEIRA,MG,-20.715,-44.86444444
INMET_SE_MG_A569_SETE LAGOAS_01-01-2024_A_31-12-2024.CSV,SETE LAGOAS,MG,-19.45527777,-44.17333332
INMET_NE_CE_A347_CAMPOS SALES_01-01-2024_A_31-12-2024.CSV,CAMPOS SALES,CE,-7.07777777,-40.36277777
INMET_N_AC_A102_PARQUE ESTADUAL CHANDLESS_01-01-2024_A_31-12-2024.CSV,PARQUE ESTADUAL CHANDLESS,AC,-9.35833333,-69.92638888
INMET_S_SC_A857_SAO MIGUEL DO OESTE_01-01-2024_A_31-12-2024.CSV,SAO MIGUEL DO OESTE,SC,-26.78638888,-53.51416666
INMET_S_SC_A870_RANCHO QUEIMADO_01-01-2024_A_31-12-2024.CSV,RANCHO QUEIMADO,SC,-27.6786111,-49.04194444
INMET_NE_RN_A304_NATAL_01-01-2024_A_31-12-2024.CSV,NATAL,RN,-5.83722221,-35.20805555
INMET_N_AC_A136_PORTO WALTER_01-01-2024_A_31-12-2024.CSV,PORTO WALTER,AC,-8.26722221,-72.74777777
INMET_CO_MS_A724_CORUMBA_01-01-2024_A_31-12-2024.CSV,CORUMBA,MS,-18.99666666,-57.63749999
INMET_SE_ES_A634_VILA VELHA_01-01-2024_A_31-12-2024.CSV,VILA VELHA,ES,-20.46694443,-40.40388888
INMET_SE_MG_A546_GUARDA-MOR_01-01-2024_A_31-12-2024.CSV,GUARDA-MOR,MG,-17.56138888,-47.19916666
INMET_NE_PI_A343_PICOS_01-01-2024_A_31-12-2024.CSV,PICOS,PI,-7.0711111,-41.40416666
INMET_CO_MT_A923_PRIMAVERA DO LESTE_01-01-2024_A_31-12-2024.CSV,PRIMAVERA DO LESTE,MT,-15.57999999,-54.3811111
INMET_SE_SP_A763_MARILIA_01-01-2024_A_31-12-2024.CSV,MARILIA,SP,-22.23527777,-49.965
