"country","state","municipality","municipality - state","geocode","feature_id","class","class_level_0","class_level_1","class_level_2","2013","2023","urbanization_growt","total_eventos","total_afetados","populacao_total","percentual_afetados","municipality (Right)","state (Right)"
"Brasil","Rondônia","Ariquemes","Ariquemes - RO",1100023,2,24,"Antropic","4. Non vegetated area","4.2. Urban Area",3283.0430698791,3529.28642473742,7.500460688972561,1,21,90354,"0.023241915133807026","Ariquemes","RO"
"Brasil","Rondônia","Cacoal","Cacoal - RO",1100049,4,24,"Antropic","4. Non vegetated area","4.2. Urban Area",2372.82658253175,2947.39817454225,24.214647468988066,1,310,78601,"0.3943970178496457","Cacoal","RO"
"Brasil","Rondônia","Corumbiara","Corumbiara - RO",1100072,7,24,"Antropic","4. Non vegetated area","4.2. Urban Area",208.148743060303,241.010725909424,15.787740231321276,1,0,8802,"0.0","Corumbiara","RO"
"Brasil","Rondônia","Ji-Paraná","Ji-Paraná - RO",1100122,12,24,"Antropic","4. Non vegetated area","4.2. Urban Area",3998.11337390138,4481.6207154601,12.093387464070608,2,60,116587,"0.051463713793133026","Ji-Paraná","RO"
"Brasil","Rondônia","Pimenta Bueno","Pimenta Bueno - RO",1100189,16,24,"Antropic","4. Non vegetated area","4.2. Urban Area",1286.02338783572,1430.20095858158,11.21111576271562,1,2,33754,"0.005925223677193814","Pimenta Bueno","RO"
"Brasil","Rondônia","Rio Crespo","Rio Crespo - RO",1100262,19,24,"Antropic","4. Non vegetated area","4.2. Urban Area",131.529295336914,146.339494732667,11.260000563233058,1,0,3316,"0.0","Rio Crespo","RO"
"Brasil","Rondônia","Buritis","Buritis - RO",1100452,28,24,"Antropic","4. Non vegetated area","4.2. Urban Area",750.366416400122,812.59552984007,8.293163457193579,1,0,22729,"0.0","Buritis","MG"
"Brasil","Rondônia","Buritis","Buritis - RO",1100452,28,24,"Antropic","4. Non vegetated area","4.2. Urban Area",750.366416400122,812.59552984007,8.293163457193579,1,0,32385,"0.0","Buritis","RO"
"Brasil","Rondônia","Ministro Andreazza","Ministro Andreazza - RO",1101203,38,24,"Antropic","4. Non vegetated area","4.2. Urban Area",128.539539318847,148.193051281738,15.289857165381424,1,6466,10354,"62.44929495847016","Ministro Andreazza","RO"
"Brasil","Acre","Assis Brasil","Assis Brasil - AC",1200054,54,24,"Antropic","4. Non vegetated area","4.2. Urban Area",159.123508721924,176.160073858643,10.706504195109982,1,2134,6075,"35.1275720164609","Assis Brasil","AC"
"Brasil","Acre","Brasiléia","Brasiléia - AC",1200104,55,24,"Antropic","4. Non vegetated area","4.2. Urban Area",450.755575091553,520.730717169193,15.52396596834711,3,26240,21438,"122.39947756320552","Brasiléia","AC"
"Brasil","Acre","Capixaba","Capixaba - AC",1200179,57,24,"Antropic","4. Non vegetated area","4.2. Urban Area",192.72376229248,198.438577355956,2.965288242351317,1,7880,8810,"89.44381384790012","Capixaba","AC"
"Brasil","Acre","Epitaciolândia","Epitaciolândia - AC",1200252,59,24,"Antropic","4. Non vegetated area","4.2. Urban Area",325.611827319335,366.346143542481,12.51008495560479,2,7650,15126,"50.57516858389528","Epitaciolândia","AC"
"Brasil","Acre","Feijó","Feijó - AC",1200302,60,24,"Antropic","4. Non vegetated area","4.2. Urban Area",520.536436065673,580.477403106693,11.51522984520869,3,2000,32311,"6.189842468509176","Feijó","AC"
"Brasil","Acre","Jordão","Jordão - AC",1200328,61,24,"Antropic","4. Non vegetated area","4.2. Urban Area",272.706475537108,362.120218676752,32.78753940974063,3,19000,6531,"290.92022661154493","Jordão","AC"
"Brasil","Acre","Mâncio Lima","Mâncio Lima - AC",1200336,62,24,"Antropic","4. Non vegetated area","4.2. Urban Area",761.446951690675,765.6129789917,0.5471198343857019,1,4420,15246,"28.991210809392626","Mâncio Lima","AC"
"Brasil","Acre","Manoel Urbano","Manoel Urbano - AC",1200344,63,24,"Antropic","4. Non vegetated area","4.2. Urban Area",130.690100390624,154.990349224854,18.593794603874482,4,3203,7989,"40.09262736262361","Manoel Urbano","AC"
"Brasil","Acre","Marechal Thaumaturgo","Marechal Thaumaturgo - AC",1200351,64,24,"Antropic","4. Non vegetated area","4.2. Urban Area",296.233597821046,353.649295739751,19.381899400009885,1,8192,14200,"57.690140845070424","Marechal Thaumaturgo","AC"
"Brasil","Acre","Porto Walter","Porto Walter - AC",1200393,66,24,"Antropic","4. Non vegetated area","4.2. Urban Area",213.436599359131,251.486732330324,17.82737032235478,1,5868,9172,"63.97732228521588","Porto Walter","AC"
"Brasil","Acre","Rio Branco","Rio Branco - AC",1200401,67,24,"Antropic","4. Non vegetated area","4.2. Urban Area",10150.3600449281,10696.2553014709,5.378087615872997,4,261256,335796,"77.80199883262458","Rio Branco","AC"
"Brasil","Acre","Rodrigues Alves","Rodrigues Alves - AC",1200427,68,24,"Antropic","4. Non vegetated area","4.2. Urban Area",468.516978247071,491.463831439208,4.89776342321495,1,2548,14334,"17.775917399190735","Rodrigues Alves","AC"
"Brasil","Acre","Sena Madureira","Sena Madureira - AC",1200500,71,24,"Antropic","4. Non vegetated area","4.2. Urban Area",649.244928790286,710.266061236573,9.398784609682725,1,16671,37993,"43.87913563024768","Sena Madureira","AC"
