"CD_MUN","Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))","municipio","UF","População","DH_Mortos","DH_Feridos","DH_Enfermos","DH_Desabrigados","DH_Desalojados","DH_Desaparecidos","Registro","Protocolo","COBRADE","Status","DH_Outros Afetados","COBRADE_COD","Year"
3304607,1106.0000000000048,"SANTA MARIA MADALENA","RJ",10321,0,0,0,0,0,0,"2024-12-30","RJ-F-3304607-11321-20241229","11321 - Deslizamentos","Registro",0,11321,2024
3139409,,"MANHUACU","MG",79635,0,0,0,0,0,0,"2024-12-30","MG-F-3139409-11321-20241229","11321 - Deslizamentos","Registro",0,11321,2024
3300902,488.7999999999994,"CAMBUCI","RJ",14829,0,0,0,0,9,0,"2024-12-28","RJ-F-3300902-12200-20241227","12200 - Enxurradas","Registro",7,12200,2024
3136702,1600.6000000000085,"JUIZ DE FORA","MG",517872,0,0,0,0,0,0,"2024-12-27","MG-F-3136702-13214-20241226","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
5003306,961.6000000000021,"COXIM","MS",32180,0,0,0,0,0,0,"2024-12-26","MS-F-5003306-12300-20241225","12300 - Alagamentos","Registro",0,12300,2024
4314902,4087.5999999999713,"PORTO ALEGRE","RS",1409939,0,0,0,0,0,0,"2024-12-25","RS-F-4314902-13214-20241224","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Não reconhecido",0,13214,2024
3136702,1600.6000000000085,"JUIZ DE FORA","MG",517872,0,0,0,0,0,0,"2024-12-23","MG-F-3136702-13214-20241222","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",540756,13214,2024
4211652,1905.4000000000087,"NOVO HORIZONTE","SP",36612,0,0,0,0,0,0,"2024-12-26","SP-F-3533502-13214-20241221","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
5107305,2028.0000000000068,"SAO JOSE DO RIO CLARO","MT",17128,0,0,0,0,28,0,"2024-12-23","MT-F-5107305-13214-20241221","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",0,13214,2024
3105608,1850.4000000000096,"BARBACENA","MG",126325,0,0,0,0,11,0,"2024-12-28","MG-F-3105608-13214-20241220","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",600,13214,2024
1506187,283.99999999999994,"RONDON DO PARA","PA",46974,0,0,0,0,0,0,"2024-12-18","PA-F-1506187-13214-20241217","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",5800,13214,2024
5007935,1416.2000000000025,"SONORA","MS",14867,0,0,0,0,0,0,"2024-12-18","MS-F-5007935-12200-20241217","12200 - Enxurradas","Registro",0,12200,2024
3167202,1448.0000000000057,"SETE LAGOAS","MG",214071,0,0,0,14,23,0,"2024-12-25","MG-F-3167202-12300-20241217","12300 - Alagamentos","Registro",0,12300,2024
3136702,1600.6000000000085,"JUIZ DE FORA","MG",517872,0,0,0,0,0,0,"2024-12-18","MG-F-3136702-13215-20241216","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
3161700,1355.4000000000049,"SAO GONCALO DO ABAETE","MG",6252,0,0,0,0,0,0,"2024-12-18","MG-F-3161700-13215-20241214","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
5001904,1374.4000000000033,"BATAGUASSU","MS",19825,0,0,0,0,0,0,"2024-12-17","MS-F-5001904-12300-20241214","12300 - Alagamentos","Registro",0,12300,2024
4106902,1284.6000000000042,"CURITIBA","PR",1746896,0,0,0,5,0,0,"2024-12-19","PR-F-4106902-11321-20241212","11321 - Deslizamentos","Registro",12,11321,2024
3136702,1600.6000000000085,"JUIZ DE FORA","MG",517872,0,0,0,0,0,0,"2024-12-17","MG-F-3136702-13214-20241210","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",48750,13214,2024
5001904,1374.4000000000033,"BATAGUASSU","MS",19825,0,0,0,0,0,0,"2024-12-17","MS-F-5001904-24200-20241209","24200 - Rompimento/colapso de barragens","Registro",0,24200,2024
3505302,1114.2000000000028,"BARRA BONITA","SC",1878,0,0,0,0,7,0,"2024-12-11","SC-F-4202099-12100-20241208","12100 - Inundações","Registro",21,12100,2024
4106902,1284.6000000000042,"CURITIBA","PR",1746896,0,0,0,0,7,0,"2024-12-16","PR-F-4106902-11321-20241208","11321 - Deslizamentos","Registro",0,11321,2024
4107207,2420.800000000006,"DOIS VIZINHOS","PR",36198,0,0,0,0,0,0,"2024-12-16","PR-F-4107207-12200-20241207","12200 - Enxurradas","Reconhecido",1260,12200,2024
