estacao,latitude,longitude,CD_MUN,Município,SIGLA_UF
SANTA MARIA DAS BARREIRAS,-8.72972221,-49.85638888,1506583,Santa Maria das Barreiras,PA
SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888,3305505,Saquarema,RJ
BERTIOGA,-23.84472221,-46.14333333,3506359,Bertioga,SP
SONORA,-17.63527777,-54.76055555,5007935,Sonora,MS
CAMARATUBA,-6.56194444,-35.13527777,2508901,Mamanguape,PB
JACOBINA,-11.205,-40.465,2917508,Jacobina,BA
ITABERABA,-12.52416666,-40.29972221,2914703,Itaberaba,BA
PIUM,-10.47694443,-49.62944443,1717503,Pium,TO
MINA DO PALITO,-6.31999999,-55.78777777,1503606,Itaituba,PA
CANELA,-29.36888888,-50.82722221,4304408,Canela,RS
Paty do Alferes - Avelar,-22.34722221,-43.41777777,3303856,Paty do Alferes,RJ
CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666,3301009,Campos dos Goytacazes,RJ
SAO FELIX  DO ARAGUAIA,-11.61888888,-50.72777777,5107859,São Félix do Araguaia,MT
RIO VERDE,-17.78527777,-50.965,5218805,Rio Verde,GO
MARABA,-5.36638888,-49.05111111,1504208,Marabá,PA
QUIXADA,-4.97888888,-39.05722222,2311306,Quixadá,CE
DOM ELISEU,-4.28055554,-47.56388888,1502939,Dom Eliseu,PA
VACARIA,-28.51361111,-50.88277777,4322509,Vacaria,RS
CACAPAVA DO SUL,-30.54527777,-53.46694443,4302808,Caçapava do Sul,RS
BURITIRAMA,-10.72305554,-43.65111111,2904753,Buritirama,BA
S. G. DA CACHOEIRA,-0.125207,-67.061246,1303809,São Gabriel da Cachoeira,AM
CAMPO MAIOR,-4.86416666,-42.14555555,2202208,Campo Maior,PI
FLORIANOPOLIS,-27.6025,-48.61999999,4216602,São José,SC
MOCAMBINHO,-15.08583333,-44.01611111,3135050,Jaíba,MG
GUARAMIRANGA,-4.22916666,-38.95888888,2305100,Guaramiranga,CE
SERAFINA CORREA,-28.70472222,-51.87083332,4320404,Serafina Corrêa,RS
SANTO AUGUSTO,-27.85444444,-53.7911111,4317806,Santo Augusto,RS
DIAMANTINA,-18.231052,-43.648269,3121605,Diamantina,MG
NITEROI,-22.86749999,-43.10194444,3303302,Niterói,RJ
GOIANIA,-16.64277777,-49.22027777,5208707,Goiânia,GO
ITAPETINGA,-15.24472221,-40.22944443,2916401,Itapetinga,BA
APUI,-7.20555555,-59.8886111,1300144,Apuí,AM
CONCEICAO DAS ALAGOAS,-19.98583333,-48.15166666,3117306,Conceição das Alagoas,MG
ARAGUAINA,-7.10388888,-48.20111111,1702109,Araguaína,TO
JUIZ DE FORA,-21.769965,-43.364329,3136702,Juiz de Fora,MG
VITORIA DA CONQUISTA,-14.88638888,-40.80138888,2933307,Vitória da Conquista,BA
DORES DO INDAIA,-19.48194443,-45.59388888,3123205,Dores do Indaiá,MG
ROSARIO OESTE,-14.82888888,-56.44194444,5107701,Rosário Oeste,MT
EPITACIOLANDIA,-11.02388888,-68.73527777,1200252,Epitaciolândia,AC
PIATA,-13.15555555,-41.77416666,2924306,Piatã,BA
ITUIUTABA,-18.95277777,-49.52499999,3134202,Ituiutaba,MG
DIANOPOLIS,-11.59444444,-46.84722221,1707009,Dianópolis,TO
BENTO GONCALVES,-29.164581,-51.534202,4302105,Bento Gonçalves,RS
MINEIROS,-17.45472222,-52.60111111,5213103,Mineiros,GO
RIO GRANDE,-32.07888888,-52.16777777,4315602,Rio Grande,RS
GRAJAU,-5.81611111,-46.16222222,2104800,Grajaú,MA
ARAGUATINS,-5.6436111,-48.11194444,1702208,Araguatins,TO
UBERABA,-19.71,-47.96194444,3170107,Uberaba,MG
BRAGANCA,-1.05583333,-46.78277777,1501709,Bragança,PA
BRAGANCA PAULISTA,-22.94916666,-46.5261111,3507605,Bragança Paulista,SP
SAO PAULO - INTERLAGOS,-23.72444443,-46.67749999,3550308,São Paulo,SP
TAUA,-6.01749999,-40.28138888,2313302,Tauá,CE
SAO VICENTE DO SUL,-29.70222222,-54.69444444,4319802,São Vicente do Sul,RS
ANGRA DOS REIS,-22.97555554,-44.30333333,3300100,Angra dos Reis,RJ
CIDADE GAUCHA,-23.35916666,-52.93194443,4105607,Cidade Gaúcha,PR
SINOP,-11.98222221,-55.56611111,5107909,Sinop,MT
CARUARU,-8.36527777,-36.02833332,2604106,Caruaru,PE
NOVO REPARTIMENTO,-4.24388888,-49.93944444,1505064,Novo Repartimento,PA
DOM PEDRITO,-31.0025,-54.61805554,4306601,Dom Pedrito,RS
TRES RIOS,-22.09833333,-43.20833333,3306008,Três Rios,RJ
SAO RAIMUNDO NONATO,-9.03305554,-42.70111111,2210607,São Raimundo Nonato,PI
OBIDOS,-1.88083332,-55.51972221,1505106,Óbidos,PA
IPANGUACU,-5.53499999,-36.87222221,2404705,Ipanguaçu,RN
JUTI,-22.85722222,-54.60555555,5005152,Juti,MS
GARANHUNS,-8.91083333,-36.49333333,2606002,Garanhuns,PE
PARATY,-23.2236111,-44.72694443,3303807,Paraty,RJ
PALMEIRA DOS INDIOS,-9.42027777,-36.62027777,2706307,Palmeira dos Índios,AL
EUCLIDES DA CUNHA,-10.53722221,-38.99666666,2910701,Euclides da Cunha,BA
