Estacao,AnoMes,Precipitacao
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-01,136.6
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-02,259.8
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-03,59.8
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-04,95.2
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-05,192.79999999999998
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-06,56.4
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-07,68.2
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-08,137.0
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-09,28.2
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-10,69.8
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-11,120.4
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024,2024-12,135.6
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-01,54.6
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-02,214.2
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-03,56.0
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-04,107.8
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-05,68.2
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-06,41.6
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-07,79.0
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-08,52.800000000000004
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-09,28.400000000000002
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-10,58.2
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-11,98.8
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024,2024-12,67.4
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-01,168.8
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-02,54.2
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-03,55.6
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-04,127.8
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-05,39.4
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-06,47.4
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-07,63.6
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-08,83.0
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-09,2.4000000000000004
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-10,40.6
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-11,54.6
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024,2024-12,51.4
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-01,182.4
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-02,197.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-03,32.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-04,133.0
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-05,72.2
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-06,18.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-07,89.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-08,88.2
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-09,15.2
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-10,96.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-11,60.6
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024,2024-12,114.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-01,1.0
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-02,307.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-03,5.6000000000000005
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-04,136.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-05,49.6
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-06,33.8
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-07,215.8
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-08,61.0
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-09,96.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-10,31.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-11,16.4
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024,2024-12,37.6
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-01,171.8
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-02,226.6
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-03,23.2
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-04,73.8
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-05,51.6
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-06,45.4
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-07,57.0
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-08,26.0
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-09,16.0
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-10,37.6
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-11,51.0
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024,2024-12,121.60000000000001
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-01,135.8
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-02,27.2
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-03,8.6
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-04,60.4
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-05,73.2
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-06,93.8
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-07,144.2
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-08,48.2
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-09,26.0
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-10,7.800000000000001
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-11,43.4
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024,2024-12,38.0
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-01,149.2
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-02,51.6
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-03,49.199999999999996
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-04,68.8
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-05,14.6
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-06,41.6
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-07,63.2
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-08,17.2
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-09,19.0
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-10,28.4
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-11,52.0
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024,2024-12,78.2
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-01,202.8
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-02,50.800000000000004
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-03,30.599999999999998
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-04,84.0
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-05,2.2
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-06,72.8
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-07,45.2
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-08,12.8
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-09,14.4
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-10,33.0
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-11,31.8
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024,2024-12,41.6
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-01,106.0
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-02,101.8
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-03,36.4
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-04,74.0
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-05,47.2
