"state","municipality","register","COBRADE","population","deaths","injured","sick","displaced","homeless","disapeared","other affecteds","Year"
"SP","Caconde","2024-12-31","12100 - Inundações",18536,0,0,0,0,0,0,30,2024
"SP","Caieiras","2024-12-31","13214 - Tempestade Local/Convectiva - Chuvas Intensas",86623,1,0,0,4,4,0,16400,2024
"MG","Rio Preto","2024-12-31","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5292,0,0,0,0,37,0,2800,2024
"RS","Ponte Preta","2024-12-31","13214 - Tempestade Local/Convectiva - Chuvas Intensas",1750,0,0,0,0,0,0,0,2024
"MG","Cambuí","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",26491,0,0,0,0,0,0,0,2024
"MG","Laranjal","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6465,0,0,0,0,8,0,442,2024
"RJ","Santa Maria Madalena","2024-12-30","11321 - Deslizamentos",10321,0,0,0,0,0,0,0,2024
"RJ","Conceição de Macabu","2024-12-30","12100 - Inundações",21200,0,0,0,0,0,0,1200,2024
"RJ","Itaocara","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",22902,0,0,0,0,0,0,0,2024
"SP","Rafard","2024-12-31","12100 - Inundações",8624,0,0,0,60,50,0,560,2024
"MG","Nepomuceno","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",25721,1,0,0,0,7,0,6500,2024
"MG","Manhuaçu","2024-12-30","11321 - Deslizamentos",79635,0,0,0,0,0,0,0,2024
"MG","Caxambu","2024-12-31","13214 - Tempestade Local/Convectiva - Chuvas Intensas",21719,0,0,0,9,0,0,0,2024
"RJ","Macuco","2024-12-29","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5269,0,0,0,4,11,0,862,2024
"RJ","Cordeiro","2024-12-29","13214 - Tempestade Local/Convectiva - Chuvas Intensas",20403,0,0,0,0,21,0,1200,2024
"RJ","Macuco","2024-12-29","12300 - Alagamentos",5269,0,0,0,0,3,0,20,2024
"SP","Capivari","2024-12-30","12100 - Inundações",48573,0,0,0,176,700,0,40000,2024
"RJ","Cambuci","2024-12-28","12200 - Enxurradas",14829,0,0,0,0,9,0,7,2024
"MG","Campos Gerais","2024-12-27","13214 - Tempestade Local/Convectiva - Chuvas Intensas",27623,0,0,0,0,0,0,3000,2024
"SP","Monte Mor","2024-12-27","13214 - Tempestade Local/Convectiva - Chuvas Intensas",48971,0,0,0,160,240,0,5000,2024
"MG","Caxambu","2024-12-27","13214 - Tempestade Local/Convectiva - Chuvas Intensas",21719,0,0,0,0,6,0,0,2024
"MG","Juiz de Fora","2024-12-27","13214 - Tempestade Local/Convectiva - Chuvas Intensas",517872,0,0,0,0,0,0,0,2024
"RS","Marcelino Ramos","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5134,0,0,0,0,6,0,4314,2024
"SP","Francisco Morato","2024-12-26","12100 - Inundações",154538,0,0,0,0,0,0,0,2024
"MS","Coxim","2024-12-26","12300 - Alagamentos",32180,0,0,0,0,0,0,0,2024
"MG","Grão Mogol","2024-12-28","13214 - Tempestade Local/Convectiva - Chuvas Intensas",15026,0,0,0,0,0,0,1200,2024
"RS","Camargo","2024-12-30","13215 - Tempestade Local/Convectiva - Vendaval",2591,0,0,0,0,0,0,0,2024
"RS","Porto Alegre","2024-12-25","13214 - Tempestade Local/Convectiva - Chuvas Intensas",1409939,0,0,0,0,0,0,0,2024
"MG","Carmo da Mata","2024-12-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10927,0,0,0,0,106,0,10821,2024
"MG","Raul Soares","2024-12-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",23818,2,0,0,0,100,0,9000,2024
"MG","Itambacuri","2024-12-24","13214 - Tempestade Local/Convectiva - Chuvas Intensas",22797,0,0,0,3,17,0,3292,2024
"ES","Colatina","2024-12-26","12100 - Inundações",111794,0,0,0,0,12,0,0,2024
"MG","Resplendor","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",17099,0,0,0,0,60,0,3600,2024
"MG","Itabirinha","2024-12-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10692,0,0,0,0,0,0,20,2024
"ES","Mimoso do Sul","2024-12-30","13214 - Tempestade Local/Convectiva - Chuvas Intensas",25898,0,0,0,0,0,0,0,2024
"RS","Vera Cruz","2024-12-27","13214 - Tempestade Local/Convectiva - Chuvas Intensas",23986,0,200,0,200,2000,3,24317,2024
"RJ","São Fidélis","2024-12-31","13214 - Tempestade Local/Convectiva - Chuvas Intensas",37553,0,0,0,0,0,0,0,2024
"RJ","Barra do Piraí","2024-12-23","13214 - Tempestade Local/Convectiva - Chuvas Intensas",94855,0,0,0,0,0,0,0,2024
"MG","Juiz de Fora","2024-12-23","13214 - Tempestade Local/Convectiva - Chuvas Intensas",517872,0,0,0,0,0,0,540756,2024
"MG","Além Paraíba","2024-12-24","13214 - Tempestade Local/Convectiva - Chuvas Intensas",34341,0,0,0,0,27,0,4342,2024
