Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Áurea,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3665,0,0,0,0,0,0,3665,05/05/2024
Aceguá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4394,0,0,0,0,1,0,30,02/05/2024
Agudo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,16729,0,1,9,100,27,0,15904,04/05/2024
Agudo,Tempestade Local/Convectiva - Vendaval,Reconhecido,16729,0,0,0,0,0,0,16041,18/01/2024
Ajuricaba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7255,0,0,0,0,0,0,6720,08/05/2024
Alecrim,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7045,0,0,0,0,10,0,500,07/05/2024
Alegrete,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,77673,0,0,0,214,296,0,690,04/05/2024
Alegrete, Inundações,Registro,77673,0,0,0,0,6,0,0,18/04/2024
Alegria,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4301,0,0,0,0,0,0,4301,06/05/2024
Alpestre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8027,0,0,0,0,0,0,7117,06/05/2024
Alto Alegre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1848,0,0,0,0,20,0,1828,03/05/2024
Alto Feliz,Enxurradas,Reconhecido,2908,0,0,0,20,0,0,3052,06/05/2024
Alvorada, Inundações,Reconhecido,195718,0,5,2000,212,9802,0,183699,03/05/2024
Amaral Ferrador,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6355,0,0,0,0,12,0,6343,01/10/2024
Amaral Ferrador,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6355,0,0,0,0,4,0,6351,06/05/2024
Ametista do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7323,0,0,0,0,4,0,7319,03/05/2024
Ametista do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7323,0,0,0,0,0,0,2000,26/03/2024
André da Rocha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1216,0,0,0,0,6,0,0,04/05/2024
Anta Gorda,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6073,0,0,0,30,50,0,6200,03/05/2024
Anta Gorda,Enxurradas,Não reconhecido,6073,0,0,0,30,50,0,6000,02/05/2024
Antônio Prado,Tempestade Local/Convectiva - Vendaval,Registro,12837,0,0,0,0,0,0,0,02/12/2024
Antônio Prado,Tempestade Local/Convectiva - Vendaval,Registro,12837,0,0,0,0,0,0,0,24/10/2024
Antônio Prado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12837,0,3,0,36,40,0,12758,06/05/2024
Arambaré,Tempestade Local/Convectiva - Vendaval,Reconhecido,3693,0,0,0,0,0,0,850,04/12/2024
Arambaré,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3693,0,0,0,8,150,0,0,26/09/2024
Arambaré,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3693,0,0,0,80,480,0,0,08/05/2024
Arambaré,Tempestade Local/Convectiva - Vendaval,Reconhecido,3693,0,0,0,0,50,0,0,26/03/2024
Araricí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4868,0,0,0,9,72,0,4800,02/05/2024
Aratiba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6568,0,0,0,0,10,0,140,05/05/2024
Arroio do Meio,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,18783,2,0,0,1000,12000,0,21996,04/05/2024
Arroio do Meio,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,18783,2,0,0,1000,12000,0,21966,01/05/2024
Arroio do Meio,Tempestade Local/Convectiva - Vendaval,Reconhecido,18783,0,0,0,0,0,0,10000,23/01/2024
Arroio do Padre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2730,0,0,0,0,0,0,2000,17/05/2024
Arroio do Tigre,Tempestade Local/Convectiva - Vendaval,Reconhecido,12648,0,40,0,0,0,0,13373,02/12/2024
Arroio do Tigre,Tempestade Local/Convectiva - Granizo,Reconhecido,12648,0,0,0,0,110,0,2428,27/06/2024
Arroio do Tigre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12648,0,0,0,32,770,0,11256,06/05/2024
Arroio dos Ratos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,13608,0,10,0,60,1800,0,0,15/05/2024
Arroio Grande,Ciclones - Ventos Costeiros (Mobilidade de Dunas),Registro,18469,0,0,0,0,10,0,30,18/12/2024
