"country","state","municipality","municipality - state","geocode","feature_id","class","class_level_0","class_level_1","class_level_2","2013","2023","new column","total_eventos","total_afetados","populacao_total","percentual_afetados","municipality (Right)","state (Right)"
"Brasil","Rondônia","Ariquemes","Ariquemes - RO",1100023,2,3,"Natural","1. Forest","1.1. Forest Formation",165911.748801974,129352.247678804,-22.035510677912296,1,21,90354,"0.023241915133807026","Ariquemes","RO"
"Brasil","Rondônia","Ariquemes","Ariquemes - RO",1100023,2,4,"Natural","1. Forest","1.2. Savanna Formation",6036.68200245967,3261.25709035035,-45.97599991151533,1,21,90354,"0.023241915133807026","Ariquemes","RO"
"Brasil","Rondônia","Ariquemes","Ariquemes - RO",1100023,2,6,"Natural","1. Forest","1.4 Floodable Forest",1513.94341030884,772.962965863037,-48.94373458084838,1,21,90354,"0.023241915133807026","Ariquemes","RO"
"Brasil","Rondônia","Cacoal","Cacoal - RO",1100049,4,3,"Natural","1. Forest","1.1. Forest Formation",149556.834529914,132375.184812273,-11.488374818607419,1,310,78601,"0.3943970178496457","Cacoal","RO"
"Brasil","Rondônia","Cacoal","Cacoal - RO",1100049,4,4,"Natural","1. Forest","1.2. Savanna Formation",2855.70033510127,2057.68384322511,-27.944686004592995,1,310,78601,"0.3943970178496457","Cacoal","RO"
"Brasil","Rondônia","Cacoal","Cacoal - RO",1100049,4,6,"Natural","1. Forest","1.4 Floodable Forest",2169.26345029904,2194.86847529294,1.1803557096935426,1,310,78601,"0.3943970178496457","Cacoal","RO"
"Brasil","Rondônia","Corumbiara","Corumbiara - RO",1100072,7,3,"Natural","1. Forest","1.1. Forest Formation",99327.0475639382,86872.1758250797,-12.539254960579726,1,0,8802,"0.0","Corumbiara","RO"
"Brasil","Rondônia","Corumbiara","Corumbiara - RO",1100072,7,4,"Natural","1. Forest","1.2. Savanna Formation",3510.52233432619,2493.91069612432,-28.95898505647874,1,0,8802,"0.0","Corumbiara","RO"
"Brasil","Rondônia","Corumbiara","Corumbiara - RO",1100072,7,6,"Natural","1. Forest","1.4 Floodable Forest",3495.09868662706,2549.30794793094,-27.06048737092612,1,0,8802,"0.0","Corumbiara","RO"
"Brasil","Rondônia","Ji-Paraná","Ji-Paraná - RO",1100122,12,3,"Natural","1. Forest","1.1. Forest Formation",451484.316377414,446178.089939117,-1.1752847764176308,2,60,116587,"0.051463713793133026","Ji-Paraná","RO"
