Ministério da Integração e do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2024 Data Final: 31/12/2024 UF: RS
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
RS;Ponte Preta;31/12/2024;RS-F-4314787-13214-20241230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;1750;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Marcelino Ramos;30/12/2024;RS-F-4311908-13214-20241226;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;5134;0;0;0;0;6;0;4314;0;0;0.0;0;0;0.0;0;0;0.0;1;0;300000.0;0;0;0.0;0;0;1505650.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1505650.0;0.0;0.0;0.0;9785300.0;0.0;0.0;0.0;215280.0
RS;Camargo;30/12/2024;RS-F-4303558-13215-20241224;13215 - Tempestade Local/Convectiva - Vendaval;Registro;2591;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Porto Alegre;25/12/2024;RS-F-4314902-13214-20241224;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;1409939;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Vera Cruz;27/12/2024;RS-F-4322707-13214-20241223;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;23986;0;200;0;200;2000;3;24317;300;0;0.0;1;0;0.0;2;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;80000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.974950563E7;1427053.28;0.0;0.0;0.0
RS;Guaporé;20/12/2024;RS-F-4309407-12200-20241220;12200 - Enxurradas;Registro;22810;0;0;0;77;0;0;22733;70;22;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;200000.0;40000.0;0.0;200000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Guaporé;23/12/2024;RS-F-4309407-13214-20241220;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;22810;0;0;0;77;0;0;22733;70;22;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;200000.0;40000.0;0.0;200000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8445E7;667700.0;0.0;4000000.0;1000000.0
RS;Feliz;19/12/2024;RS-F-4308102-13214-20241219;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;12359;0;0;350;0;40;0;4980;0;8;1200000.0;0;0;0.0;2;0;400000.0;0;0;0.0;4;0;3000000.0;4;0;4000000.0;;;DE 5% A 10%;;;0.0;0.0;0.0;150000.0;50000.0;0.0;0.0;4000000.0;0.0;0.0;400000.0;0.0;0.0;0.0;0.0;0.0
RS;Barra do Rio Azul;17/12/2024;RS-F-4301925-13214-20241216;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;2003;0;0;0;0;40;0;1696;0;10;1500000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Arroio Grande;18/12/2024;RS-F-4301305-13111-20241215;13111 - Ciclones - Ventos Costeiros (Mobilidade de Dunas);Registro;18469;0;0;0;0;10;0;30;10;0;0.0;1;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Rio Grande;16/12/2024;RS-F-4315602-13215-20241206;13215 - Tempestade Local/Convectiva - Vendaval;Registro;197253;0;0;0;0;0;0;10000;6;0;12000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Candiota;10/12/2024;RS-F-4304358-13215-20241206;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;8776;0;0;0;0;0;0;480;120;0;400000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Ciríaco;03/12/2024;RS-F-4305504-13215-20241202;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4922;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000.0;0.0
RS;Arroio do Tigre;02/12/2024;RS-F-4301206-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;12648;0;40;0;0;0;0;13373;150;0;181268.96;0;0;0.0;3;0;60000.0;0;0;0.0;0;1;807218.75;0;0;0.0;;;;;;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000.0;0.0;0.0;0.0;0.0;0.0
RS;Minas do Leão;03/12/2024;RS-F-4312252-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Registro;7631;0;0;0;0;0;0;254;86;0;16000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Arambaré;04/12/2024;RS-F-4300851-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;3693;0;0;0;0;0;0;850;210;0;420000.0;1;0;10000.0;2;0;300000.0;1;0;20000.0;2;0;25000.0;0;0;0.0;;;;;;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;0.0
RS;Chuvisca;09/12/2024;RS-F-4305447-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;4944;0;3;0;0;60;0;437;100;25;711000.0;0;0;0.0;0;0;0.0;0;0;0.0;8;8;100000.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Santana da Boa Vista;06/12/2024;RS-F-4317004-13214-20241201;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8244;0;0;0;0;1;0;79;20;0;50000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Antônio Prado;02/12/2024;RS-F-4300802-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Registro;12837;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Relvado;03/12/2024;RS-F-4315453-13214-20241129;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;2155;1;0;0;0;0;1;2098;133;20;7650000.0;1;0;100000.0;2;0;400000.0;0;0;0.0;0;0;0.0;6;6;5264327.38;;;;;;154856.0;327790.45;0.0;0.0;0.0;0.0;0.0;464839.0;0.0;0.0;460000.0;1669212.0;1953630.4;0.0;0.0;0.0
RS;Feliz;28/11/2024;RS-F-4308102-13214-20241128;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;12359;0;0;350;0;40;0;5370;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;DE 5% A 10%;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Doutor Maurício Cardoso;29/11/2024;RS-F-4306734-13214-20241128;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;5313;0;0;0;0;0;0;4470;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;MAIS DE 20%;;;;;0.0;0.0;40720.0;0.0;0.0;0.0;0.0;3073309.43;0.0;0.0;0.0;5469000.0;0.0;0.0;0.0;0.0
RS;Itaara;20/11/2024;RS-F-4310538-13214-20241117;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;5011;0;0;0;0;2;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;5;30000.0;;;;;;0.0;0.0;22000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;São Sepé;08/11/2024;RS-F-4319604-12300-20241107;12300 - Alagamentos;Registro;23798;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Canoas;01/11/2024;RS-F-4304606-13214-20241101;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;324025;0;0;0;3341;0;0;8180;0;0;0.0;0;0;0.0;1;0;2704768.34;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2704768.34;0.0;0.0;0.0;0.0;0.0
RS;Ciríaco;25/10/2024;RS-F-4305504-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4922;0;0;0;0;0;0;100;4;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Dom Pedro de Alcântara;29/10/2024;RS-F-4306551-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Não reconhecido;2550;0;0;0;0;0;0;0;4;0;0.0;0;0;0.0;1;0;40000.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0
RS;Erechim;29/10/2024;RS-F-4307005-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;96105;0;2;0;0;0;0;0;185;0;450000.0;0;0;0.0;4;0;25000.0;1;0;40000.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Ponte Preta;24/10/2024;RS-F-4314787-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;1750;0;0;0;0;0;0;0;4;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Antônio Prado;24/10/2024;RS-F-4300802-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;12837;0;0;0;0;0;0;0;2;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
