Code,Precipitação 2024 (mm),Município,UF,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Registro,Evento,Status,Outros Afetados
4300406,1734.8,ALEGRETE,RS,77673,0,0,0,214,296,0,04/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,690
4300406,1734.8,ALEGRETE,RS,77673,0,0,0,0,6,0,18/04/2024,Inundações,Registro,0
4301602,1878,BAGE,RS,116792,0,0,0,0,0,0,14/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,116792
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,24/06/2024,Tempestade Local/Convectiva - Granizo,Registro,65
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,24/06/2024,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0
4302105,2358.2,BENTO GONCALVES,RS,107341,4,64,0,104,600,8,03/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,23/01/2024,Tempestade Local/Convectiva - Vendaval,Registro,0
2201903,961.2,BOM JESUS,RS,11556,0,0,0,20,25,0,10/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3000
2201903,961.2,BOM JESUS,RS,11556,0,0,0,0,0,0,07/05/2024,Tempestade Local/Convectiva - Vendaval,Reconhecido,11309
4302808,2325.2,CACAPAVA DO SUL,RS,33700,0,0,0,0,0,0,02/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0
4303509,1701.4,CAMAQUA,RS,62759,0,0,0,0,60,0,25/09/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,62699
4303509,1701.4,CAMAQUA,RS,62759,0,0,0,0,0,0,06/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1000
4303509,1701.4,CAMAQUA,RS,62759,0,0,0,0,0,0,04/03/2024,Alagamentos,Registro,109
4303608,2193.6,CAMBARA DO SUL,RS,6545,0,0,0,0,4,0,13/05/2024,Tempestade Local/Convectiva - Vendaval,Reconhecido,299
4303905,2128.2,CAMPO BOM,RS,60081,0,0,0,280,3200,0,07/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6120
4304408,3310.2,CANELA,RS,39238,2,7,5,235,402,0,07/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,45000
4304408,3310.2,CANELA,RS,39238,2,7,5,235,402,0,03/05/2024,Deslizamentos,Reconhecido,45000
4304408,3310.2,CANELA,RS,39238,0,0,0,11,0,0,23/01/2024,Tempestade Local/Convectiva - Vendaval,Reconhecido,39227
4304507,1796.2,CANGUCU,RS,53268,0,0,0,0,4,0,27/09/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21284
4304507,1796.2,CANGUCU,RS,53268,0,0,0,0,0,0,23/09/2024,Tempestade Local/Convectiva - Granizo,Registro,0
4304507,1796.2,CANGUCU,RS,53268,0,0,0,0,0,0,06/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21284
4304507,1796.2,CANGUCU,RS,53268,0,0,0,0,0,0,21/03/2024,Tempestade Local/Convectiva - Vendaval,Reconhecido,49680
4304507,1796.2,CANGUCU,RS,53268,0,0,0,0,0,0,01/03/2024,Enxurradas,Registro,0
4304663,1911.8,CAPAO DO LEAO,RS,24294,0,0,0,0,0,0,10/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7500
4304663,1911.8,CAPAO DO LEAO,RS,24294,0,0,0,0,0,0,28/03/2024,Tempestade Local/Convectiva - Vendaval,Registro,24000
2103505,,COLINAS,RS,2420,0,80,200,200,1150,0,03/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1030
2103505,,COLINAS,RS,2420,0,0,0,0,0,0,18/01/2024,Tempestade Local/Convectiva - Vendaval,Reconhecido,2420
2103505,,COLINAS,RS,2420,0,0,0,0,0,0,18/01/2024,Tempestade Local/Convectiva - Vendaval,Registro,2420
4306106,1888,CRUZ ALTA,RS,62825,0,0,0,0,0,0,21/06/2024,Tempestade Local/Convectiva - Chuvas Intensas,Registro,200
4306106,1888,CRUZ ALTA,RS,62825,0,0,0,0,0,0,02/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,58913
4306106,1888,CRUZ ALTA,RS,62825,0,0,0,0,0,0,04/04/2024,Tempestade Local/Convectiva - Vendaval,Registro,6
4306106,1888,CRUZ ALTA,RS,62825,0,0,0,0,0,0,21/03/2024,Tempestade Local/Convectiva - Vendaval,Registro,112
1200203,1433,CRUZEIRO DO SUL,RS,12331,3,0,0,800,2987,0,01/05/2024,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12331
