CD_MUN,Municipio,Evento,Status,Mortos,Feridos,Enfermos,Desaparecidos,Desalojados,Desabrigados,OutrosAfetados,Registro,TotalAfetados,TotalNaoAfetados,PopulacaoEstimada2024,TotalAfetadosNormalized,TotalNaoAfetadosNormalized,PercentualAffected
4300034,Aceguá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1,0,30,02/05/2024,31,4222,4253,31,4222,0.728897249
4300059,Água Santa,,,,,,,,,,,,,,,,
4300109,Agudo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,9,0,27,100,15904,04/05/2024,16041,305,16346,16041,305,98.13410009
4300208,Ajuricaba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6720,08/05/2024,6720,128,6848,6720,128,98.13084112
4300307,Alecrim,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,500,07/05/2024,510,5718,6228,510,5718,8.188824663
4300406,Alegrete,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,296,214,690,04/05/2024,1200,73129,74329,1200,73129,1.614443891
4300455,Alegria,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4301,06/05/2024,4301,-590,3711,4301,0,100
4300471,Almirante Tamandaré do Sul,,,,,,,,,,,,,,,,
4300505,Alpestre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7117,06/05/2024,7117,126,7243,7117,126,98.26038934
4300554,Alto Alegre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,20,0,1828,03/05/2024,1848,-11,1837,1848,0,100
4300570,Alto Feliz,Enxurradas,Reconhecido,0,0,0,0,0,20,3052,06/05/2024,3072,71,3143,3072,71,97.74101177
4300604,Alvorada, Inundações,Reconhecido,0,5,2000,0,9802,212,183699,03/05/2024,195718,-1602,194116,195718,0,100
4300638,Amaral Ferrador,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4,0,6351,06/05/2024,6355,-961,5394,6355,0,100
4300646,Ametista do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4,0,7319,03/05/2024,7323,499,7822,7323,499,93.6205574
4300661,André da Rocha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,6,0,0,04/05/2024,6,1151,1157,6,1151,0.518582541
4300703,Anta Gorda,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,30,6000,03/05/2024,6080,0,6080,6080,0,100
4300802,Antônio Prado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,3,0,0,40,36,12758,06/05/2024,12837,491,13328,12837,491,96.31602641
4300851,Arambaré,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,480,80,0,08/05/2024,560,3651,4211,560,3651,13.29850392
4300877,Araricá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,72,9,4800,02/05/2024,4881,3913,8794,4881,3913,55.50375256
4300901,Aratiba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,140,05/05/2024,150,6468,6618,150,6468,2.266545784
4301008,Arroio do Meio,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,0,0,0,12000,1000,21996,04/05/2024,34998,-12508,22490,34998,0,100
4301057,Arroio do Sal,,,,,,,,,,,,,,,,
4301073,Arroio do Padre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2000,17/05/2024,2000,651,2651,2000,651,75.44322897
4301107,Arroio dos Ratos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,10,0,0,1800,60,0,15/05/2024,1870,13053,14923,1870,13053,12.53099243
4301206,Arroio do Tigre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,770,32,11256,06/05/2024,12058,238,12296,12058,238,98.06441119
4301305,Arroio Grande,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,0,0,0,24,75,4100,24/06/2024,4199,13688,17887,4199,13688,23.47514955
4301404,Arvorezinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,0,1,1000,200,3511,02/05/2024,4713,5832,10545,4713,5832,44.69416785
4301503,Augusto Pestana,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7149,06/05/2024,7149,153,7302,7149,153,97.90468365
4301552,Áurea,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3665,05/05/2024,3665,-205,3460,3665,0,100
4301602,Bagé,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,116792,14/05/2024,116792,5108,121900,116792,5108,95.80968007
4301636,Balneário Pinhal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4036,6,0,03/05/2024,4042,11329,15371,4042,11329,26.2962722
