CD_MUN,municipality,area,population2022,population2024,event,status,deaths,injured,sick,missing,evacuated,displaced,otherAffected,record,totalAffected,totalNotAffected,totalAffectedNormalized,totalNotAffectedNormalized,percentageAffected
4300034,Aceguá,1551.339,4170,4253,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1,0,30,02/05/2024,31,4222,31,4222,0.728897249
4300059,Água Santa,291.526,3912,4000,,,,,,,,,,,,,,,
4300109,Agudo,534.624,16041,16346,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,9,0,27,100,15904,04/05/2024,16041,305,16041,305,98.13410009
4300208,Ajuricaba,322.674,6720,6848,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6720,08/05/2024,6720,128,6720,128,98.13084112
4300307,Alecrim,316.394,6123,6228,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,500,07/05/2024,510,5718,510,5718,8.188824663
4300406,Alegrete,7800.552,72409,74329,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,296,214,690,04/05/2024,1200,73129,1200,73129,1.614443891
4300455,Alegria,172.794,3651,3711,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4301,06/05/2024,4301,-590,4301,0,100
4300471,Almirante Tamandaré do Sul,265.042,1969,2008,,,,,,,,,,,,,,,
4300505,Alpestre,325.979,7117,7243,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7117,06/05/2024,7117,126,7117,126,98.26038934
4300554,Alto Alegre,115.335,1800,1837,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,20,0,1828,03/05/2024,1848,-11,1848,0,100
4300570,Alto Feliz,78.17,3072,3143,Enxurradas,Reconhecido,0,0,0,0,0,20,3052,06/05/2024,3072,71,3072,71,97.74101177
4300604,Alvorada,71.702,187315,194116, Inundações,Reconhecido,0,5,2000,0,9802,212,183699,03/05/2024,195718,-1602,195718,0,100
4300638,Amaral Ferrador,506.109,5310,5394,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4,0,6351,06/05/2024,6355,-961,6355,0,100
4300646,Ametista do Sul,93.605,7650,7822,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4,0,7319,03/05/2024,7323,499,7323,499,93.6205574
4300661,André da Rocha,331.208,1135,1157,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,6,0,0,04/05/2024,6,1151,6,1151,0.518582541
4300703,Anta Gorda,242.1,5957,6080,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,30,6000,03/05/2024,6080,0,6080,0,100
4300802,Antônio Prado,347.541,13045,13328,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,3,0,0,40,36,12758,06/05/2024,12837,491,12837,491,96.31602641
4300851,Arambaré,518.193,4112,4211,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,480,80,0,08/05/2024,560,3651,560,3651,13.29850392
4300877,Araricá,35.195,8525,8794,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,72,9,4800,02/05/2024,4881,3913,4881,3913,55.50375256
4300901,Aratiba,342.279,6483,6618,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,140,05/05/2024,150,6468,150,6468,2.266545784
4301008,Arroio do Meio,157.088,21958,22490,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,0,0,0,12000,1000,21996,04/05/2024,34998,-12508,34998,0,100
