UF,Municí­pio,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados
RS,Água Santa,14/06/2018,RS-F-4300059-13211-20180612,13211 - Tempestade Local/Convectiva - Tornados,Reconhecido,3726,0,10,0,5,33,0,2927
RS,Água Santa,09/06/2017,RS-F-4300059-12200-20170604,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,2279
RS,Água Santa,14/07/2016,RS-F-4300059-13213-20160713,13213 - Tempestade Local/Convectiva - Granizo,Reconhecido,3726,0,0,0,0,0,0,300
RS,Água Santa,29/08/2011,RS-A-4300059-12200-20110829,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0
RS,Água Santa,28/03/2011,RS-P-4300059-12200-20110328,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0
RS,Água Santa,25/11/2010,RS-C-4300059-12200-20101125,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0
RS,Água Santa,25/11/2009,RS-A-4300059-12200-20091125,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0
RS,Água Santa,01/12/2002,RS-A-4300059-13215-20021201,13215 - Tempestade Local/Convectiva - Vendaval,Registro,3726,0,0,0,0,0,0,0
RS,Água Santa,19/12/1994,RS-P-4300059-12200-19941219,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0
RS,Água Santa,09/11/1994,RS-P-4300059-13213-19941109,13213 - Tempestade Local/Convectiva - Granizo,Registro,3726,0,0,0,0,0,0,0
RS,Água Santa,22/07/1993,RS-P-4300059-12200-19930722,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0
RS,Água Santa,15/06/1990,RS-P-4300059-12200-19900615,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0
RS,Áurea,05/05/2024,RS-F-4301552-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3665,0,0,0,0,0,0,3665
RS,Áurea,12/10/2023,RS-F-4301552-13214-20231007,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3665,0,0,0,0,0,0,3396
RS,Áurea,13/07/2020,RS-F-4301552-13215-20200630,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,3665,0,0,0,0,8,0,2552
RS,Áurea,07/07/2020,RS-F-4301552-13211-20200630,13211 - Tempestade Local/Convectiva - Tornados,Registro,3665,0,0,0,0,0,0,0
RS,Áurea,13/03/2019,RS-F-4301552-12200-20190306,12200 - Enxurradas,Reconhecido,3665,0,0,0,0,2,0,2600
RS,Áurea,01/06/2017,RS-F-4301552-12200-20170530,12200 - Enxurradas,Reconhecido,3665,0,0,0,0,0,0,2128
RS,Áurea,03/07/2014,RS-F-4301552-12200-20140630,12200 - Enxurradas,Reconhecido,3665,0,0,0,0,0,0,2
RS,Áurea,09/08/2011,RS-A-4301552-13215-20110809,13215 - Tempestade Local/Convectiva - Vendaval,Registro,3665,0,0,0,0,0,0,0
RS,Áurea,09/02/2011,RS-P-4301552-12200-20110209,12200 - Enxurradas,Reconhecido,3665,0,0,0,0,0,0,0
RS,Áurea,01/12/2010,RS-A-4301552-13213-20101201,13213 - Tempestade Local/Convectiva - Granizo,Reconhecido,3665,0,0,0,0,0,0,0
RS,Aceguá,02/05/2024,RS-F-4300034-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4394,0,0,0,0,1,0,30
RS,Aceguá,07/11/2019,RS-F-4300034-13214-20191030,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,4394,0,0,0,0,0,0,7
RS,Aceguá,13/09/2016,RS-F-4300034-13215-20160912,13215 - Tempestade Local/Convectiva - Vendaval,Registro,4394,0,0,0,5,5,0,0
RS,Aceguá,26/04/2016,RS-F-4300034-13214-20160426,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4394,0,0,0,0,0,0,1519
RS,Aceguá,14/12/2015,RS-F-4300034-13215-20151213,13215 - Tempestade Local/Convectiva - Vendaval,Registro,4394,0,0,0,0,0,0,0
RS,Aceguá,09/05/2013,RS-F-4300034-13213-20130503,13213 - Tempestade Local/Convectiva - Granizo,Registro,4394,0,0,0,0,0,0,1092
RS,Aceguá,23/11/2010,RS-P-4300034-12100-20101123,12100 - Inundações,Registro,4394,0,0,0,0,0,0,0
RS,Aceguá,19/11/2009,RS-A-4300034-12100-20091119,12100 - Inundações,Reconhecido,4394,0,0,0,0,0,0,0
RS,Aceguá,07/09/2009,RS-A-4300034-13215-20090907,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,4394,0,9,0,13,165,0,0
RS,Agudo,04/05/2024,RS-F-4300109-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,16729,0,1,9,100,27,0,15904
RS,Agudo,18/01/2024,RS-F-4300109-13215-20240116,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,16729,0,0,0,0,0,0,16041
RS,Agudo,24/11/2023,RS-F-4300109-13214-20231118,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,16729,0,0,0,0,0,0,16729
RS,Agudo,14/09/2023,RS-F-4300109-12200-20230913,12200 - Enxurradas,Registro,16729,0,0,0,0,15,0,0
RS,Agudo,07/08/2023,RS-F-4300109-11321-20230720,11321 - Deslizamentos,Registro,16729,0,0,0,10,10,0,0
RS,Agudo,08/06/2021,RS-F-4300109-13215-20210605,13215 - Tempestade Local/Convectiva - Vendaval,Registro,16729,0,0,0,0,2,0,0
