Code,Municipality,Area,Population census 2022,Estimated population 2024
4300034,Aceguá,1551.339,4170,4253
4300059,Água Santa,291.526,3912,4000
4300109,Agudo,534.624,16041,16346
4300208,Ajuricaba,322.674,6720,6848
4300307,Alecrim,316.394,6123,6228
4300406,Alegrete,7800.552,72409,74329
4300455,Alegria,172.794,3651,3711
4300471,Almirante Tamandaré do Sul,265.042,1969,2008
4300505,Alpestre,325.979,7117,7243
4300554,Alto Alegre,115.335,1800,1837
4300570,Alto Feliz,78.17,3072,3143
4300604,Alvorada,71.702,187315,194116
4300638,Amaral Ferrador,506.109,5310,5394
4300646,Ametista do Sul,93.605,7650,7822
4300661,André da Rocha,331.208,1135,1157
4300703,Anta Gorda,242.1,5957,6080
4300802,Antônio Prado,347.541,13045,13328
4300851,Arambaré,518.193,4112,4211
4300877,Araricá,35.195,8525,8794
4300901,Aratiba,342.279,6483,6618
4301008,Arroio do Meio,157.088,21958,22490
4301057,Arroio do Sal,119.16,11057,11384
4301073,Arroio do Padre,124.693,2599,2651
4301107,Arroio dos Ratos,425.791,14601,14923
4301206,Arroio do Tigre,315.132,12058,12296
4301305,Arroio Grande,2508.557,17558,17887
4301404,Arvorezinha,269.31,10322,10545
4301503,Augusto Pestana,348.219,7149,7302
4301552,Áurea,156.727,3396,3460
4301602,Bagé,4090.36,117938,121900
4301636,Balneário Pinhal,102.387,14955,15371
4301651,Barão,122.567,6461,6489
4301701,Barão de Cotegipe,260.505,7144,7313
4301750,Barão do Triunfo,436.101,5889,5983
4301800,Barracão,515.469,4831,4920
4301859,Barra do Guarita,62.801,3161,3230
4301875,Barra do Quaraí,1055.937,4241,4337
4301909,Barra do Ribeiro,729.316,12225,12475
4301925,Barra do Rio Azul,146.995,1696,1724
4301958,Barra Funda,60.437,2498,2555
4302006,Barros Cassal,647.994,9296,9442
4302055,Benjamin Constant do Sul,132.351,2082,2120
4302105,Bento Gonçalves,272.287,123151,127775
4302154,Boa Vista das Missões,196.064,1933,1969
4302204,Boa Vista do Buricá,109.541,6966,7125
4302220,Boa Vista do Cadeado,701.221,2229,2271
4302238,Boa Vista do Incra,504.114,2271,2315
4302253,Boa Vista do Sul,93.108,2779,2815
4302303,Bom Jesus,2622.837,11202,11431
4302352,Bom Princípio,90.023,13142,13650
4302378,Bom Progresso,89.206,2096,2134
4302402,Bom Retiro do Sul,102.54,12294,12578
4302451,Boqueirão do Leão,257.789,6247,6215
4302501,Bossoroca,1610.056,5890,5988
4302584,Bozano,200.497,2151,2195
4302600,Braga,132.044,3268,3326
4302659,Brochier,105.353,4966,5079
4302709,Butiá,752.187,19084,19433
4302808,Caçapava do Sul,3048.147,32515,33508
4302907,Cacequi,2373.507,11157,11324
4303004,Cachoeira do Sul,3736.064,80070,82250
4303103,Cachoeirinha,43.76,136258,141303
4303202,Cacique Doble,203.582,4603,4694
4303301,Caibaté,261.28,4704,4797
4303400,Caiçara,189.071,4836,4933
4303509,Camaquã,1679.242,62200,63959
4303558,Camargo,138.069,2981,3056
4303608,Cambará do Sul,1181.811,6361,6492
4303673,Campestre da Serra,538.487,3242,3311
4303707,Campina das Missões,224.792,5882,6001
4303806,Campinas do Sul,276.162,5284,5390
4303905,Campo Bom,60.562,62886,64704
4304002,Campo Novo,220.719,4975,5068
4304101,Campos Borges,226.202,3613,3693
4304200,Candelária,944.735,28906,29783
4304309,Cândido Godói,247.047,6294,6421
4304358,Candiota,933.628,10710,10992
4304408,Canela,253.002,48946,50613
4304507,Canguçu,3526.316,49680,50998
4304606,Canoas,130.774,347657,359554
4304614,Canudos do Vale,82.943,1656,1687
4304622,Capão Bonito do Sul,526.85,1733,1769
4304630,Capão da Canoa,98.383,63594,66012
4304655,Capão do Cipó,1007.796,3119,3186
4304663,Capão do Leão,783.196,26487,27389
4304671,Capivari do Sul,412.889,3991,4079
4304689,Capela de Santana,182.756,11159,11416
4304697,Capitão,73.967,2921,2991
4304705,Carazinho,666.694,61804,63638
4304713,Caraá,294.606,7394,7553
4304804,Carlos Barbosa,230.061,30420,31528
4304853,Carlos Gomes,83.196,1368,1387
4304903,Casca,272.041,9465,9689
4304952,Caseiros,235.649,3000,3064
