CD_MUN,"Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))",municipio,UF,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,Registro,Protocolo,COBRADE,Status,DH_Outros Afetados,COBRADE_COD,Year
4300406,1734.8,ALEGRETE,RS,77673,0,0,0,214,296,0,04/05/2024,RS-F-4300406-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,690,13214,2024
4300406,1734.8,ALEGRETE,RS,77673,0,0,0,0,6,0,18/04/2024,RS-F-4300406-12100-20240418,12100 - Inundações,Registro,0,12100,2024
4301602,1878,BAGE,RS,116792,0,0,0,0,0,0,14/05/2024,RS-F-4301602-13214-20240507,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,116792,13214,2024
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,24/06/2024,RS-F-4302105-13213-20240623,13213 - Tempestade Local/Convectiva - Granizo,Registro,65,13213,2024
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,24/06/2024,RS-F-4302105-13214-20240615,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,13214,2024
4302105,2358.2,BENTO GONCALVES,RS,107341,4,64,0,104,600,8,03/05/2024,RS-F-4302105-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4302105,2358.2,BENTO GONCALVES,RS,107341,0,0,0,0,0,0,23/01/2024,RS-F-4302105-13215-20240114,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
2201903,961.2,BOM JESUS,RS,11556,0,0,0,20,25,0,10/05/2024,RS-F-4302303-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3000,13214,2024
2201903,961.2,BOM JESUS,RS,11556,0,0,0,0,0,0,07/05/2024,RS-F-4302303-13215-20240427,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,11309,13215,2024
4302808,2325.2,CACAPAVA DO SUL,RS,33700,0,0,0,0,0,0,02/05/2024,RS-F-4302808-13214-20240430,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
