row ID,UF,Município,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,COBRADE_COD
Row14953,RS,Água Santa,14/06/2018,RS-F-4300059-13211-20180612,13211 - Tempestade Local/Convectiva - Tornados,Reconhecido,3726,0,10,0,5,33,0,2927,13211
Row16550,RS,Água Santa,09/06/2017,RS-F-4300059-12200-20170604,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,2279,12200
Row17643,RS,Água Santa,14/07/2016,RS-F-4300059-13213-20160713,13213 - Tempestade Local/Convectiva - Granizo,Reconhecido,3726,0,0,0,0,0,0,300,13213
Row23040,RS,Água Santa,29/08/2011,RS-A-4300059-12200-20110829,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0,12200
Row23561,RS,Água Santa,28/03/2011,RS-P-4300059-12200-20110328,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0,12200
Row24820,RS,Água Santa,25/11/2010,RS-C-4300059-12200-20101125,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0,12200
Row26539,RS,Água Santa,25/11/2009,RS-A-4300059-12200-20091125,12200 - Enxurradas,Reconhecido,3726,0,0,0,0,0,0,0,12200
Row34797,RS,Água Santa,01/12/2002,RS-A-4300059-13215-20021201,13215 - Tempestade Local/Convectiva - Vendaval,Registro,3726,0,0,0,0,0,0,0,13215
Row38541,RS,Água Santa,19/12/1994,RS-P-4300059-12200-19941219,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0,12200
Row38564,RS,Água Santa,09/11/1994,RS-P-4300059-13213-19941109,13213 - Tempestade Local/Convectiva - Granizo,Registro,3726,0,0,0,0,0,0,0,13213
Row38935,RS,Água Santa,22/07/1993,RS-P-4300059-12200-19930722,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0,12200
Row40201,RS,Água Santa,15/06/1990,RS-P-4300059-12200-19900615,12200 - Enxurradas,Registro,3726,0,0,0,0,0,0,0,12200
Row1895,RS,Áurea,05/05/2024,RS-F-4301552-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3665,0,0,0,0,0,0,3665,13214
