CD_MUN,Município,"Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))"
4300406,Alegrete,1734.8
4301602,Bagé,1878
4302105,Bento GonÃ§alves,2358.2
4302808,Caçapava do Sul,2325.2
4303509,Camaquã,1701.4
4303608,Cambará do Sul,2193.6
4303905,Campo Bom,2128.2
4304408,Canela,3310.2
4304507,Canguçu,1796.2
4304663,Capão do Leão,1911.8
4306106,Cruz Alta,1888
4306601,Dom Pedrito,1861.6
4306908,Encruzilhada do Sul,1278.8
4307005,Erechim,2246.2
4308508,Frederico Westphalen,1924.8
4310009,Ibirubá,2259.4
4311007,Jaguarão,2077.8
4311304,Lagoa Vermelha,1864.2
4313706,Palmeira das Missões,2236
4314100,Passo Fundo,2397.6
4314902,Porto Alegre,4087.6
4315305,Quaraí,1764.4
4315602,Rio Grande,1871.6
4315701,Rio Pardo,2121.8
4316907,Santa Maria,2204.2
4317103,Sant'Ana do Livramento,1682.8
4317202,Santa Rosa,1430.4
4317301,Santa Vitória do Palmar,1443.6
4317400,Santiago,2217.4
4317806,Santo Augusto,2320
4318002,São Borja,1459
4318309,São Gabriel,1981.2
4318622,São José dos Ausentes,669.6
4318903,São Luiz Gonzaga,1878.4
4319802,São Vicente do Sul,1736.8
4320404,Serafina Corrêa,2702.4
4320800,Soledade,2256.4
4321352,Tavares,121.6
4321451,Teutônia,1981.8
4321600,Tramandaí,1179
4322202,Tupanciretã,2239
4322400,Uruguaiana,1588
4322509,Vacaria,2175
