Code,area_risco_km2,Município,SIGLA_UF,Code,area_municipio_km2,perc_area_em_risco
4300059,291.6348567,Água Santa,RS,4300059,291.6348567,100
4301552,156.7968796,Áurea,RS,4301552,156.7968796,100
4300034,1551.343871,Aceguá,RS,4300034,1551.346572,99.99982587
4300109,534.6609194,Agudo,RS,4300109,534.6609194,100
4300208,322.6769776,Ajuricaba,RS,4300208,322.6769776,100
4300307,316.4156869,Alecrim,RS,4300307,316.417185,99.99952655
4300406,7803.561666,Alegrete,RS,4300406,7803.561666,100
4300455,172.7949287,Alegria,RS,4300455,172.7949287,100
4300471,265.0795895,Almirante Tamandaré do Sul,RS,4300471,265.0795895,100
4300505,326.0135999,Alpestre,RS,4300505,326.0135999,100
4300554,115.348857,Alto Alegre,RS,4300554,115.348857,100
4300570,78.24100626,Alto Feliz,RS,4300570,78.24100626,100
4300604,71.77276633,Alvorada,RS,4300604,71.77276633,100
4300638,506.1452409,Amaral Ferrador,RS,4300638,506.1452409,100
4300646,93.71179872,Ametista do Sul,RS,4300646,93.71179872,100
4300661,331.4518307,André da Rocha,RS,4300661,331.4518307,100
4300703,242.2134447,Anta Gorda,RS,4300703,242.2134447,100
4300802,347.8358778,Antônio Prado,RS,4300802,347.8358778,100
4300851,518.5338406,Arambaré,RS,4300851,518.5356513,99.9996508
4300877,35.42930558,Araricá,RS,4300877,35.42930558,100
4300901,342.3982175,Aratiba,RS,4300901,342.3982175,100
4301008,157.1630646,Arroio do Meio,RS,4301008,157.1630646,100
4301073,124.7284143,Arroio do Padre,RS,4301073,124.7284143,100
4301057,119.3833655,Arroio do Sal,RS,4301057,119.3842596,99.99925104
4301206,315.1649136,Arroio do Tigre,RS,4301206,315.1649136,100
4301107,426.033844,Arroio dos Ratos,RS,4301107,426.033844,100
4301305,2508.86224,Arroio Grande,RS,4301305,2508.86754,99.99978874
4301404,269.4147336,Arvorezinha,RS,4301404,269.4147336,100
4301503,348.2314039,Augusto Pestana,RS,4301503,348.2314039,100
4301602,4090.403211,Bagé,RS,4301602,4090.404859,99.99995972
4301636,102.5475179,Balneário Pinhal,RS,4301636,102.5478505,99.99967562
4301651,124.8485438,Barão,RS,4301651,124.8485438,100
4301701,260.5832276,Barão de Cotegipe,RS,4301701,260.5832276,100
4301750,436.3423094,Barão do Triunfo,RS,4301750,436.3423094,100
4301859,62.80186266,Barra do Guarita,RS,4301859,62.80186266,100
4301875,1057.276314,Barra do Quaraá,RS,4301875,1057.281687,99.99949188
4301909,729.8997598,Barra do Ribeiro,RS,4301909,729.904846,99.99930317
4301925,147.0395938,Barra do Rio Azul,RS,4301925,147.0395938,100
4301958,60.44366678,Barra Funda,RS,4301958,60.44366678,100
4301800,515.8750178,Barracão,RS,4301800,515.8750178,100
4302006,648.144794,Barros Cassal,RS,4302006,648.144794,100
4302055,132.3801148,Benjamin Constant do Sul,RS,4302055,132.3801148,100
4302105,272.4782694,Bento Gonçalves,RS,4302105,272.4782694,100
4302154,196.073877,Boa Vista das Missões,RS,4302154,196.073877,100
4302204,109.541236,Boa Vista do Buricá,RS,4302204,109.541236,100
4302220,701.223179,Boa Vista do Cadeado,RS,4302220,701.223179,100
4302238,504.1309334,Boa Vista do Incra,RS,4302238,504.1309334,100
4302253,94.45861039,Boa Vista do Sul,RS,4302253,94.45861039,100
4302303,2626.806705,Bom Jesus,RS,4302303,2626.806705,100
4302352,88.73176379,Bom Princápio,RS,4302352,88.73176379,100
4302378,89.20659979,Bom Progresso,RS,4302378,89.20659979,100
4302402,102.5907475,Bom Retiro do Sul,RS,4302402,102.5907475,100
4302451,266.0297762,Boqueirão do Leão,RS,4302451,266.0297762,100
4302501,1610.23973,Bossoroca,RS,4302501,1610.23973,100
4302584,200.4985684,Bozano,RS,4302584,200.4985684,100
4302600,132.0453555,Braga,RS,4302600,132.0453555,100
4302659,105.4218385,Brochier,RS,4302659,105.4218385,100
4302709,752.5255097,Butiá,RS,4302709,752.5255097,100
4304309,247.062806,Cândido Godói,RS,4304309,247.062806,100
4302808,3048.247991,Caçapava do Sul,RS,4302808,3048.247991,100
4302907,2373.702147,Cacequi,RS,4302907,2373.702147,100
4303004,3736.513882,Cachoeira do Sul,RS,4303004,3736.513882,100
4303103,43.82013988,Cachoeirinha,RS,4303103,43.82013988,100
4303202,204.18682,Cacique Doble,RS,4303202,204.18682,100
4303400,189.1669417,Caiçara,RS,4303400,189.1669417,100
4303301,261.3162059,Caibaté,RS,4303301,261.3162059,100
4303509,1681.093664,Camaquã,RS,4303509,1681.096567,99.99982728
4303558,138.1201634,Camargo,RS,4303558,138.1201634,100
4303608,1183.877776,Cambará do Sul,RS,4303608,1183.877776,100
4303673,539.0211853,Campestre da Serra,RS,4303673,539.0211853,100
4303707,224.8201108,Campina das Missões,RS,4303707,224.8201108,100
4303806,276.2219787,Campinas do Sul,RS,4303806,276.2219787,100
4303905,60.64021669,Campo Bom,RS,4303905,60.64021669,100
4304002,220.7196599,Campo Novo,RS,4304002,220.7196599,100
4304101,226.2257787,Campos Borges,RS,4304101,226.2257787,100
4304200,944.889331,Candelária,RS,4304200,944.889331,100
4304358,933.635228,Candiota,RS,4304358,933.635228,100
4304408,253.3085529,Canela,RS,4304408,253.3085529,100
4304507,3526.967835,Canguçu,RS,4304507,3526.967835,100
4304606,130.9080057,Canoas,RS,4304606,130.9080057,100
4304614,82.93825953,Canudos do Vale,RS,4304614,82.93825953,100
4304622,527.2773006,Capão Bonito do Sul,RS,4304622,527.2773006,100
4304630,98.56347613,Capão da Canoa,RS,4304630,98.56421215,99.99925326
4304655,1007.837463,Capão do Cipó,RS,4304655,1007.837463,100
4304663,783.3806275,Capão do Leão,RS,4304663,783.3806275,100
4304689,182.9039319,Capela de Santana,RS,4304689,182.9039319,100
4304697,74.00216886,Capitão,RS,4304697,74.00216886,100
4304671,413.434705,Capivari do Sul,RS,4304671,413.4352186,99.99987577
4304713,295.0611935,Caraá,RS,4304713,295.0611935,100
4304705,666.7976786,Carazinho,RS,4304705,666.7976786,100
4304804,230.2288863,Carlos Barbosa,RS,4304804,230.2288863,100
4304853,83.19714027,Carlos Gomes,RS,4304853,83.19714027,100
4304903,272.177308,Casca,RS,4304903,272.177308,100
4304952,236.0075135,Caseiros,RS,4304952,236.0075135,100
4305009,583.1846609,Catuápe,RS,4305009,583.1846609,100
4305108,1654.03403,Caxias do Sul,RS,4305108,1654.03403,100
4305116,134.2941194,Centenário,RS,4305116,134.2941194,100
4305124,451.7710262,Cerrito,RS,4305124,451.7710262,100
4305132,158.0430289,Cerro Branco,RS,4305132,158.0430289,100
4305157,73.44398857,Cerro Grande,RS,4305157,73.44398857,100
4305173,325.0928472,Cerro Grande do Sul,RS,4305173,325.0928472,100
4305207,176.6526714,Cerro Largo,RS,4305207,176.6526714,100
4305306,684.3107,Chapada,RS,4305306,684.3107,100
4305355,217.5109363,Charqueadas,RS,4305355,217.5109363,100
4305371,198.8427751,Charrua,RS,4305371,198.8427751,100
4305405,397.1795969,Chiapetta,RS,4305405,397.1795969,100
4305439,202.3954239,Chuí,RS,4305439,202.396101,99.99966546
4305447,220.5705814,Chuvisca,RS,4305447,220.5705814,100
4305454,243.8061473,Cidreira,RS,4305454,243.8065686,99.99982721
4305504,274.4906383,Ciríaco,RS,4305504,274.4906383,100
4305587,60.76393328,Colinas,RS,4305587,60.76393328,100
4305603,286.3292018,Colorado,RS,4305603,286.3292018,100
4305702,463.5822082,Condor,RS,4305702,463.5822082,100
4305801,203.6383527,Constantina,RS,4305801,203.6383527,100
4305835,112.6844239,Coqueiro Baixo,RS,4305835,112.6844239,100
4305850,277.1978942,Coqueiros do Sul,RS,4305850,277.1978942,100
4305871,163.6830254,Coronel Barros,RS,4305871,163.6830254,100
4305900,492.3103211,Coronel Bicaco,RS,4305900,492.3103211,100
4305934,105.7321262,Coronel Pilar,RS,4305934,105.7321262,100
4305959,173.3125827,Cotiporã,RS,4305959,173.3125827,100
4305975,422.2413321,Coxilha,RS,4305975,422.2413321,100
4306007,362.1945213,Crissiumal,RS,4306007,362.1950578,99.99985186
4306056,682.4332327,Cristal,RS,4306056,682.4332327,100
4306072,97.08389134,Cristal do Sul,RS,4306072,97.08389134,100
4306106,1360.581335,Cruz Alta,RS,4306106,1360.581335,100
4306130,166.9194239,Cruzaltense,RS,4306130,166.9194239,100
4306205,155.1275073,Cruzeiro do Sul,RS,4306205,155.1275073,100
4306304,174.8332099,David Canabarro,RS,4306304,174.8332099,100
4306320,360.8495243,Derrubadas,RS,4306320,360.851284,99.99951232
4306353,217.3932287,Dezesseis de Novembro,RS,4306353,217.3932287,100
4306379,600.520368,Dilermando de Aguiar,RS,4306379,600.520368,100
4306403,66.17870033,Dois Irmãos,RS,4306403,66.17870033,100
4306429,226.0792424,Dois Irmãos das Missões,RS,4306429,226.0792424,100
4306452,133.6071306,Dois Lajeados,RS,4306452,133.6071306,100
4306502,1355.693599,Dom Feliciano,RS,4306502,1355.693599,100
4306601,5194.351827,Dom Pedrito,RS,4306601,5194.35476,99.99994353
4306551,78.37537407,Dom Pedro de Alcântara,RS,4306551,78.37537407,100
4306700,114.1542096,Dona Francisca,RS,4306700,114.1542096,100
4306734,255.7334762,Doutor Maurácio Cardoso,RS,4306734,255.7356937,99.99913291
4306759,108.0122742,Doutor Ricardo,RS,4306759,108.0122742,100
4306767,509.9796594,Eldorado do Sul,RS,4306767,509.9802868,99.99987699
4306809,140.0766664,Encantado,RS,4306809,140.0766664,100
4306908,3348.537731,Encruzilhada do Sul,RS,4306908,3348.537731,100
4306924,71.20124631,Engenho Velho,RS,4306924,71.20124631,100
4306957,119.9359679,Entre Rios do Sul,RS,4306957,119.9359679,100
4306932,552.9931407,Entre-Ijuís,RS,4306932,552.9931407,100
4306973,152.8449049,Erebango,RS,4306973,152.8449049,100
4307005,429.3205673,Erechim,RS,4307005,429.3205673,100
4307054,238.6176677,Ernestina,RS,4307054,238.6176677,100
4307203,285.7470033,Erval Grande,RS,4307203,285.7470033,100
4307302,357.1909526,Erval Seco,RS,4307302,357.1909526,100
4307401,830.380396,Esmeralda,RS,4307401,830.380396,100
4307450,148.9090384,Esperança do Sul,RS,4307450,148.9093793,99.99977102
4307500,783.7711028,Espumoso,RS,4307500,783.7711028,100
4307609,51.8263629,Estância Velha,RS,4307609,51.8263629,100
4307559,99.79213452,Estação,RS,4307559,99.79213452,100
4307708,27.70184174,Esteio,RS,4307708,27.70184174,100
4307807,185.1191138,Estrela,RS,4307807,185.1191138,100
4307815,281.6348137,Estrela Velha,RS,4307815,281.6348137,100
4307831,418.0718546,Eugênio de Castro,RS,4307831,418.0718546,100
4307864,134.3791818,Fagundes Varela,RS,4307864,134.3791818,100
4307906,361.6336833,Farroupilha,RS,4307906,361.6336833,100
4308003,169.5201657,Faxinal do Soturno,RS,4308003,169.5201657,100
4308052,143.3510867,Faxinalzinho,RS,4308052,143.3510867,100
4308078,84.83985862,Fazenda Vilanova,RS,4308078,84.83985862,100
4308102,94.91290231,Feliz,RS,4308102,94.91290231,100
4308201,276.4912118,Flores da Cunha,RS,4308201,276.4912118,100
4308250,168.5977817,Floriano Peixoto,RS,4308250,168.5977817,100
4308300,583.419069,Fontoura Xavier,RS,4308300,583.419069,100
4308409,578.8914983,Formigueiro,RS,4308409,578.8914983,100
4308433,93.31202184,Forquetinha,RS,4308433,93.31202184,100
