state,municipality,register,COBRADE,population,deaths,injured,sick,displaced,homeless,disapeared,other affecteds,Year
RS,¡urea,05/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3665,0,0,0,0,0,0,3665,2024
RS,Acegu·,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4394,0,0,0,0,1,0,30,2024
RS,Agudo,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,16729,0,1,9,100,27,0,15904,2024
RS,Agudo,18/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,16729,0,0,0,0,0,0,16041,2024
RS,Ajuricaba,08/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7255,0,0,0,0,0,0,6720,2024
RS,Alecrim,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7045,0,0,0,0,10,0,500,2024
RS,Alegrete,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,77673,0,0,0,214,296,0,690,2024
RS,Alegrete,18/04/2024,12100 - InundaÁıes,77673,0,0,0,0,6,0,0,2024
RS,Alegria,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4301,0,0,0,0,0,0,4301,2024
RS,Alpestre,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,8027,0,0,0,0,0,0,7117,2024
RS,Alto Alegre,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1848,0,0,0,0,20,0,1828,2024
RS,Alto Feliz,06/05/2024,12200 - Enxurradas,2908,0,0,0,20,0,0,3052,2024
RS,Alvorada,03/05/2024,12100 - InundaÁıes,195718,0,5,2000,212,9802,0,183699,2024
RS,Amaral Ferrador,01/10/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6355,0,0,0,0,12,0,6343,2024
RS,Amaral Ferrador,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6355,0,0,0,0,4,0,6351,2024
RS,Ametista do Sul,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7323,0,0,0,0,4,0,7319,2024
RS,Ametista do Sul,26/03/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7323,0,0,0,0,0,0,2000,2024
RS,AndrÈ da Rocha,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1216,0,0,0,0,6,0,0,2024
RS,Anta Gorda,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6073,0,0,0,30,50,0,6200,2024
RS,Anta Gorda,02/05/2024,12200 - Enxurradas,6073,0,0,0,30,50,0,6000,2024
RS,AntÙnio Prado,02/12/2024,13215 - Tempestade Local/Convectiva - Vendaval,12837,0,0,0,0,0,0,0,2024
