municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Abdon Batista,SC,2,2613,2653,98.49227289860535
Abreu E Lima,PE,8,13,94428,0.013767102977930275
Acará,PA,1,23411,53605,43.67316481671486
Aceguá,RS,1,31,4394,0.705507510241238
Acopiara,CE,1,26,51171,0.05081002911805515
Afonso Cláudio,ES,1,0,31086,0.0
Agrolândia,SC,2,1,9328,0.01072041166380789
Agronômica,SC,2,1212,4901,24.72964701081412
Agudo,RS,2,32082,16729,191.7747623886664
Ajuricaba,RS,1,6720,7255,92.62577532736044
Alecrim,RS,1,510,7045,7.23917672107878
Alegre,ES,3,4680,30784,15.202702702702704
Alegrete,RS,2,1206,77673,1.5526630875593834
Alegria,RS,1,4301,4301,100.0
Alenquer,PA,3,14842,52714,28.155708161019845
Alfenas,MG,3,474,73722,0.6429559697240986
Alfredo Chaves,ES,3,650,13960,4.656160458452722
Alpestre,RS,1,7117,8027,88.66326149246294
Altamira,PA,3,551,105030,0.5246120156145863
Alto Alegre,RS,1,1848,1848,100.0
Alto Alegre Do Pindaré,MA,1,0,31028,0.0
Alto Feliz,RS,1,3072,2908,105.63961485557083
Alto Paraná,PR,1,750,13662,5.489679402722881
Alvarães,AM,1,624,14080,4.431818181818182
Alvorada,RS,1,195718,195718,100.0
Alvorada Do Norte,GO,1,4600,8093,56.83924379093044
Além Paraíba,MG,1,4369,34341,12.722401793774205
Amambai,MS,1,5,34739,0.014393045280520452
Amaraji,PE,1,930,21925,4.241733181299886
Amaral Ferrador,RS,2,12710,6355,200.0
Ametista Do Sul,RS,2,9323,7323,127.31121125221902
Anagé,BA,2,12000,25500,47.05882352941176
Ananindeua,PA,1,200,471744,0.04239587572920906
Anapu,PA,1,5196,20493,25.354999268042743
Anapurus,MA,1,3110,13923,22.33713998419881
Anchieta,ES,1,0,23894,0.0
André Da Rocha,RS,1,6,1216,0.4934210526315789
Angical,BA,2,2072,14073,14.723228877993321
Angicos,RN,1,607,11553,5.254046567990998
Angélica,MS,1,3,9170,0.03271537622682661
Anicuns,GO,1,30,20272,0.1479873717442778
Anita Garibaldi,SC,1,0,8627,0.0
Anta Gorda,RS,2,12360,6073,203.52379384159397
Antônio Carlos,MG,1,11112,11112,100.0
Antônio Carlos,SC,1,18,7455,0.2414486921529175
Antônio Prado,RS,3,12837,12837,100.0
Aparecida De Goiânia,GO,4,128,455735,0.028086497635687407
Apiacá,ES,2,14867,7513,197.88366830826567
Apiúna,SC,2,29,9605,0.3019260801665799
Apodi,RN,1,2003,34777,5.759553728038646
Aracaju,SE,2,48,570937,0.00840723232160466
Aracruz,ES,1,4,81746,0.0048932057837692364
Araguari,MG,1,0,109779,0.0
Araguatins,TO,1,0,31324,0.0
